sample_index,split,storm_tag,t0,lat0,lon0,era5_available
0,train,irma,2017-09-06T12:00:00+00:00,18.1,-63.3,True
1,val,irma,2017-09-06T18:00:00+00:00,18.6,-64.7,True
2,val,irma,2017-09-07T00:00:00+00:00,19.2,-66.2,True
3,train,irma,2017-09-07T06:00:00+00:00,19.7,-67.6,True
4,train,irma,2017-09-07T12:00:00+00:00,20.2,-69.0,True
5,train,irma,2017-09-07T18:00:00+00:00,20.7,-70.4,True
6,train,irma,2017-09-08T00:00:00+00:00,21.1,-71.8,True
7,test,irma,2017-09-08T06:00:00+00:00,21.5,-73.2,True
8,train,irma,2017-09-08T12:00:00+00:00,21.8,-74.7,True
9,train,irma,2017-09-08T18:00:00+00:00,22.0,-76.0,True
10,test,irma,2017-09-09T00:00:00+00:00,22.1,-77.2,True
11,val,irma,2017-09-09T06:00:00+00:00,22.4,-78.3,True
12,train,irma,2017-09-09T12:00:00+00:00,22.7,-79.3,True
13,train,irma,2017-09-09T18:00:00+00:00,23.1,-80.2,True
14,test,irma,2017-09-10T00:00:00+00:00,23.4,-80.9,True
15,train,irma,2017-09-10T06:00:00+00:00,23.7,-81.3,True
16,train,irma,2017-09-10T12:00:00+00:00,24.5,-81.5,True
17,train,irma,2017-09-10T18:00:00+00:00,25.6,-81.7,True
18,test,irma,2017-09-11T00:00:00+00:00,26.8,-81.7,True
19,train,irma,2017-09-11T06:00:00+00:00,28.2,-82.2,True
20,test,irma,2017-09-11T12:00:00+00:00,29.6,-82.7,True
21,val,ian,2022-09-23T12:00:00+00:00,14.2,-69.3,True
22,test,ian,2022-09-23T18:00:00+00:00,14.6,-70.6,True
23,val,ian,2022-09-24T00:00:00+00:00,14.7,-71.7,True
24,train,ian,2022-09-24T06:00:00+00:00,14.7,-72.9,True
25,train,ian,2022-09-24T12:00:00+00:00,14.5,-74.4,True
26,train,ian,2022-09-24T18:00:00+00:00,14.4,-75.8,True
27,train,ian,2022-09-25T00:00:00+00:00,14.6,-77.2,True
28,test,ian,2022-09-25T06:00:00+00:00,14.6,-78.3,True
29,train,ian,2022-09-25T12:00:00+00:00,15.0,-79.4,True
30,train,ian,2022-09-25T18:00:00+00:00,15.8,-80.1,True
31,train,ian,2022-09-26T00:00:00+00:00,16.8,-80.9,True
32,train,ian,2022-09-26T06:00:00+00:00,17.7,-81.7,True
33,val,ian,2022-09-26T12:00:00+00:00,18.7,-82.4,True
34,val,ian,2022-09-26T18:00:00+00:00,19.7,-83.0,True
35,train,ian,2022-09-27T00:00:00+00:00,20.8,-83.3,True
36,val,ian,2022-09-27T06:00:00+00:00,21.8,-83.6,True
37,train,ian,2022-09-27T12:00:00+00:00,22.6,-83.6,True
38,test,ian,2022-09-27T18:00:00+00:00,23.5,-83.3,True
39,train,ian,2022-09-28T00:00:00+00:00,24.4,-83.0,True
40,val,ian,2022-09-28T06:00:00+00:00,25.2,-82.9,True
41,train,ian,2022-09-28T12:00:00+00:00,26.0,-82.7,True
42,train,ian,2022-09-28T18:00:00+00:00,26.6,-82.4,True
43,train,ian,2022-09-29T00:00:00+00:00,27.2,-81.7,True
44,test,ian,2022-09-29T06:00:00+00:00,27.7,-81.1,True
