model,lead_h,mean_track_error_km,n_windows
Persistence,6,27.11545040323141,4
Persistence,12,69.23949270773272,4
Persistence,24,175.27955094757823,4
Persistence,48,461.9578256183994,4
LSTM,6,94.15261914132921,4
LSTM,12,264.8689784855229,4
LSTM,24,402.88048943475167,4
LSTM,48,834.5678832483557,4
Transformer,6,199.26953910156547,4
Transformer,12,179.33129722263658,4
Transformer,24,391.28876859972314,4
Transformer,48,683.1457760540569,4
GNO+DynGNN,6,131.13336442241052,4
GNO+DynGNN,12,152.94661652984192,4
GNO+DynGNN,24,356.2370946226996,4
GNO+DynGNN,48,643.6018795794414,4
