sequence_id,scenario,peak_exposure,shelter_shortfall,infra_damage_final,resource_deficit,mean_hazard
0,baseline,0.2675,0.0216,0.0796,0.0298,0.3431
0,earlier_evacuation,0.2594,0.0215,0.0795,0.0295,0.343
0,earlier_evacuation_24h,0.2581,0.0215,0.0795,0.0295,0.343
0,earlier_evacuation_36h,0.2583,0.0214,0.0795,0.0295,0.3429
0,delayed_evacuation,0.2739,0.0219,0.0797,0.0301,0.3421
0,shelter_failure,0.2597,0.0217,0.0796,0.0298,0.342
0,hospital_failure,0.2597,0.0216,0.0795,0.0296,0.3426
0,road_blockage,0.2665,0.0218,0.0796,0.0299,0.3421
0,intensity_increase,0.2742,0.0219,0.0797,0.0301,0.3421
0,intensity_decrease,0.2597,0.0215,0.0795,0.0295,0.3433
0,additional_emergency_resources,0.266,0.0216,0.0796,0.0297,0.3433
1,baseline,0.2722,0.0217,0.0797,0.0299,0.343
1,earlier_evacuation,0.2619,0.0215,0.0795,0.0296,0.343
1,earlier_evacuation_24h,0.2604,0.0215,0.0795,0.0296,0.3429
1,earlier_evacuation_36h,0.2592,0.0215,0.0795,0.0296,0.3429
1,delayed_evacuation,0.2784,0.022,0.0798,0.0303,0.342
1,shelter_failure,0.2644,0.0218,0.0796,0.03,0.342
1,hospital_failure,0.2644,0.0217,0.0796,0.0298,0.3425
1,road_blockage,0.2711,0.0219,0.0797,0.0301,0.342
1,intensity_increase,0.2787,0.022,0.0798,0.0303,0.342
1,intensity_decrease,0.2646,0.0215,0.0796,0.0297,0.3433
1,additional_emergency_resources,0.2709,0.0217,0.0796,0.0299,0.3432
2,baseline,0.2864,0.0222,0.0799,0.0305,0.3422
2,earlier_evacuation,0.2771,0.0219,0.0797,0.0301,0.3428
2,earlier_evacuation_24h,0.2703,0.0218,0.0797,0.03,0.3426
2,earlier_evacuation_36h,0.2667,0.0217,0.0796,0.0299,0.3425
2,delayed_evacuation,0.2922,0.0225,0.08,0.031,0.3412
2,shelter_failure,0.279,0.0223,0.0798,0.0307,0.3412
2,hospital_failure,0.279,0.0222,0.0798,0.0305,0.3417
2,road_blockage,0.2852,0.0224,0.0799,0.0308,0.3412
2,intensity_increase,0.2924,0.0225,0.08,0.031,0.3412
2,intensity_decrease,0.2799,0.0219,0.0797,0.0302,0.3429
2,additional_emergency_resources,0.2859,0.0221,0.0798,0.0304,0.3425
3,baseline,0.2668,0.0216,0.0796,0.0297,0.3431
3,earlier_evacuation,0.2591,0.0215,0.0795,0.0295,0.3431
3,earlier_evacuation_24h,0.258,0.0214,0.0795,0.0295,0.343
3,earlier_evacuation_36h,0.2585,0.0214,0.0795,0.0295,0.3429
3,delayed_evacuation,0.2732,0.0219,0.0797,0.0301,0.3421
3,shelter_failure,0.2589,0.0217,0.0796,0.0298,0.3421
3,hospital_failure,0.259,0.0215,0.0795,0.0296,0.3426
3,road_blockage,0.2658,0.0217,0.0796,0.0299,0.3421
3,intensity_increase,0.2735,0.0219,0.0797,0.0301,0.3421
3,intensity_decrease,0.259,0.0214,0.0795,0.0295,0.3433
3,additional_emergency_resources,0.2653,0.0216,0.0796,0.0297,0.3433
4,baseline,0.3073,0.0234,0.0803,0.0323,0.3383
4,earlier_evacuation,0.2997,0.0231,0.0802,0.0319,0.3391
4,earlier_evacuation_24h,0.2944,0.0229,0.0801,0.0316,0.3396
4,earlier_evacuation_36h,0.2889,0.0227,0.08,0.0313,0.3401
4,delayed_evacuation,0.3121,0.0236,0.0804,0.0327,0.3375
4,shelter_failure,0.3004,0.0237,0.0803,0.0326,0.3374
4,hospital_failure,0.3005,0.0235,0.0803,0.0324,0.3379
4,road_blockage,0.3059,0.0236,0.0803,0.0326,0.3374
4,intensity_increase,0.3123,0.0237,0.0804,0.0327,0.3375
4,intensity_decrease,0.3022,0.0231,0.0802,0.0318,0.3392
4,additional_emergency_resources,0.3084,0.0233,0.0803,0.0321,0.3388
5,baseline,0.2739,0.0218,0.0797,0.03,0.3429
5,earlier_evacuation,0.2637,0.0216,0.0796,0.0297,0.343
5,earlier_evacuation_24h,0.2614,0.0215,0.0795,0.0296,0.3429
5,earlier_evacuation_36h,0.2601,0.0215,0.0795,0.0296,0.3428
5,delayed_evacuation,0.2801,0.022,0.0798,0.0304,0.3419
5,shelter_failure,0.2662,0.0218,0.0797,0.03,0.3419
5,hospital_failure,0.2662,0.0217,0.0796,0.0299,0.3425
5,road_blockage,0.2728,0.0219,0.0797,0.0302,0.3419
5,intensity_increase,0.2804,0.0221,0.0798,0.0304,0.342
5,intensity_decrease,0.2664,0.0216,0.0796,0.0297,0.3433
5,additional_emergency_resources,0.2727,0.0217,0.0797,0.0299,0.3432
6,baseline,0.3269,0.0248,0.0808,0.0344,0.3336
6,earlier_evacuation,0.3206,0.0246,0.0807,0.0341,0.3341
6,earlier_evacuation_24h,0.3163,0.0245,0.0806,0.0339,0.3344
6,earlier_evacuation_36h,0.3118,0.0244,0.0805,0.0337,0.3348
6,delayed_evacuation,0.3307,0.025,0.0809,0.0347,0.333
6,shelter_failure,0.3204,0.0251,0.0808,0.0347,0.3327
6,hospital_failure,0.3207,0.025,0.0807,0.0345,0.3331
6,road_blockage,0.3252,0.0251,0.0808,0.0347,0.3328
6,intensity_increase,0.33,0.025,0.0809,0.0347,0.333
6,intensity_decrease,0.3228,0.0246,0.0807,0.034,0.3342
6,additional_emergency_resources,0.3297,0.0246,0.0808,0.0342,0.3341
7,baseline,0.2976,0.0231,0.0802,0.0319,0.3385
7,earlier_evacuation,0.2895,0.0228,0.08,0.0314,0.3393
7,earlier_evacuation_24h,0.2839,0.0226,0.08,0.0311,0.3398
7,earlier_evacuation_36h,0.278,0.0224,0.0799,0.0308,0.3403
7,delayed_evacuation,0.3028,0.0234,0.0803,0.0323,0.3377
7,shelter_failure,0.2905,0.0234,0.0802,0.0322,0.3375
7,hospital_failure,0.2905,0.0232,0.0801,0.032,0.3381
7,road_blockage,0.2963,0.0234,0.0802,0.0323,0.3376
7,intensity_increase,0.303,0.0234,0.0803,0.0323,0.3377
7,intensity_decrease,0.2921,0.0228,0.0801,0.0314,0.3394
7,additional_emergency_resources,0.2982,0.023,0.0802,0.0317,0.3389
8,baseline,0.3104,0.0232,0.0803,0.032,0.3396
8,earlier_evacuation,0.3029,0.0229,0.0801,0.0316,0.3404
8,earlier_evacuation_24h,0.2976,0.0227,0.0801,0.0313,0.3409
8,earlier_evacuation_36h,0.2916,0.0225,0.08,0.0311,0.3411
8,delayed_evacuation,0.3151,0.0234,0.0804,0.0324,0.3387
8,shelter_failure,0.3035,0.0234,0.0803,0.0323,0.3386
8,hospital_failure,0.3036,0.0233,0.0802,0.0321,0.3391
8,road_blockage,0.3089,0.0234,0.0803,0.0323,0.3387
8,intensity_increase,0.3153,0.0235,0.0804,0.0324,0.3387
8,intensity_decrease,0.3054,0.0229,0.0802,0.0316,0.3404
8,additional_emergency_resources,0.3112,0.0231,0.0803,0.0319,0.34
9,baseline,0.3101,0.0237,0.0804,0.0327,0.3371
9,earlier_evacuation,0.3027,0.0234,0.0803,0.0324,0.3378
9,earlier_evacuation_24h,0.2976,0.0233,0.0802,0.0321,0.3382
9,earlier_evacuation_36h,0.2923,0.0231,0.0801,0.0318,0.3388
9,delayed_evacuation,0.3147,0.024,0.0805,0.0331,0.3363
9,shelter_failure,0.3033,0.024,0.0804,0.0331,0.3361
9,hospital_failure,0.3034,0.0238,0.0804,0.0329,0.3366
9,road_blockage,0.3086,0.024,0.0804,0.0331,0.3362
9,intensity_increase,0.3149,0.024,0.0805,0.0331,0.3363
9,intensity_decrease,0.3052,0.0234,0.0803,0.0323,0.3379
9,additional_emergency_resources,0.3115,0.0236,0.0804,0.0326,0.3375
10,baseline,0.3036,0.023,0.0802,0.0318,0.3395
10,earlier_evacuation,0.2958,0.0228,0.0801,0.0314,0.3403
10,earlier_evacuation_24h,0.2903,0.0226,0.08,0.0311,0.3408
10,earlier_evacuation_36h,0.2841,0.0224,0.0799,0.0308,0.3411
10,delayed_evacuation,0.3087,0.0233,0.0803,0.0322,0.3386
10,shelter_failure,0.2967,0.0233,0.0802,0.0321,0.3385
10,hospital_failure,0.2967,0.0231,0.0801,0.0319,0.339
10,road_blockage,0.3023,0.0233,0.0802,0.0322,0.3385
10,intensity_increase,0.3088,0.0233,0.0803,0.0322,0.3386
10,intensity_decrease,0.2984,0.0228,0.0801,0.0314,0.3403
10,additional_emergency_resources,0.3044,0.023,0.0802,0.0317,0.3399
11,baseline,0.3134,0.0241,0.0805,0.0334,0.3354
11,earlier_evacuation,0.3063,0.0239,0.0804,0.033,0.336
11,earlier_evacuation_24h,0.3014,0.0238,0.0803,0.0328,0.3364
11,earlier_evacuation_36h,0.2963,0.0236,0.0803,0.0325,0.3369
11,delayed_evacuation,0.3179,0.0244,0.0806,0.0337,0.3346
11,shelter_failure,0.3067,0.0244,0.0805,0.0337,0.3344
11,hospital_failure,0.3069,0.0243,0.0805,0.0335,0.3348
11,road_blockage,0.3119,0.0244,0.0806,0.0337,0.3345
11,intensity_increase,0.318,0.0244,0.0806,0.0337,0.3346
11,intensity_decrease,0.3087,0.0239,0.0804,0.033,0.3361
11,additional_emergency_resources,0.3154,0.024,0.0805,0.0332,0.3358
12,baseline,0.2837,0.0221,0.0798,0.0305,0.3421
12,earlier_evacuation,0.2742,0.0218,0.0797,0.03,0.3427
12,earlier_evacuation_24h,0.2673,0.0217,0.0796,0.0299,0.3425
12,earlier_evacuation_36h,0.2651,0.0217,0.0796,0.0298,0.3424
