epoch,train_loss,val_loss,lr
1,0.11893,0.043907,0.0009939057285945933
2,0.037633,0.042846,0.0009757729755661012
3,0.037034,0.042452,0.0009460482294732422
4,0.036188,0.041678,0.0009054634122155991
5,0.035775,0.041394,0.0008550178566873411
6,0.035411,0.041643,0.0007959536998847743
7,0.03449,0.041774,0.0007297252973710758
8,0.034065,0.041184,0.0006579634122155991
9,0.033637,0.042031,0.0005824350601949144
10,0.03423,0.039602,0.0005050000000000001
11,0.031524,0.041701,0.000427564939805086
12,0.027124,0.043835,0.0003520365877844012
13,0.023363,0.044349,0.00028027470262892445
14,0.021802,0.044618,0.0002140463001152259
15,0.020504,0.046438,0.00015498214331265904
16,0.019881,0.045569,0.00010453658778440108
17,0.019544,0.045698,6.395177052675796e-05
18,0.019717,0.045671,3.422702443389901e-05
19,0.019875,0.046124,1.6094271405406862e-05
20,0.0195,0.04672,1e-05
