epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,64.2202160601737,64.17320394515991,8.17836574669902e-06,1.3640615466788594e-07,1.5813056179296108e-08,1.6515311082324184e-11,3.220302827600108e-05,0.0,3.446654001256396e-05,0.0004
2,54.22647352347599,54.221323569615684,1.446559982554163e-05,2.372002324187624e-07,5.089902255228651e-08,1.651531100100902e-11,3.22030291641795e-05,0.0,0.00015997454272564937,0.0006
3,37.54997306694249,37.54946739474932,3.338297626479895e-05,8.616699232651589e-07,5.429273982245538e-08,1.6515311005526532e-11,3.220302890423928e-05,0.0,0.0005370697291103473,0.0008
4,20.50281492543949,20.502447883288067,5.0265324844644965e-05,2.235277393699183e-06,4.2335880727032795e-08,1.6515311118464257e-11,3.220302868041832e-05,0.0,0.0008719814378158238,0.001
5,10.173468418200136,10.17321591079235,7.562950020201242e-05,3.9838335806526475e-06,4.26099521592486e-08,1.651531105521913e-11,3.22030276030579e-05,0.0,0.0013757675548428476,0.001
6,5.053116605031278,5.0528726403911906,0.00010931722912725188,5.5217408032604e-06,8.216414656055567e-08,1.6515311082324184e-11,3.220302856939602e-05,0.0,0.0020464067526215026,0.0009891830623632338
7,2.5727419568696255,2.57246262828509,0.00012922605992571334,6.296169992481282e-06,9.032970716786141e-08,1.6515311086841695e-11,3.220302922279927e-05,0.0,0.0024430263442051605,0.0009572050015330874
8,1.6870523792467604,1.6867726830144723,0.00013976222533074179,6.66434478565255e-06,8.561563436907764e-08,1.651531095583393e-11,3.2203027963362274e-05,0.0,0.002653018018008879,0.000905463412215599
9,1.3855722803985675,1.3853107504546642,0.00014379756536679147,6.812435100774413e-06,8.751035485143888e-08,1.651531101004404e-11,3.220302846843973e-05,0.0,0.002733426741239479,0.0008362196501476348
10,1.1769678304883655,1.1767260537793238,0.0001460768981663326,6.886675253762557e-06,8.868121448291078e-08,1.6515310942281404e-11,3.220302891252894e-05,0.0,0.0027788637401802894,0.0007524999999999999
11,1.0790374108120584,1.0788075209905703,0.00014791265260782893,6.933888199019596e-06,8.99149356451782e-08,1.651531096486895e-11,3.220302894331913e-05,0.0,0.002815483178892464,0.000657963412215599
12,0.9771732931962399,0.97694932607313,0.00014839351937704728,6.953474977440995e-06,9.12269561374283e-08,1.651531096486895e-11,3.220302939007288e-05,0.0,0.0028250599983342304,0.0005567415893174885
13,0.8900419705722697,0.8898276224111518,0.00014964869724091537,6.9719468858882765e-06,9.233725084545341e-08,1.6515310933246385e-11,3.2203028087115136e-05,0.0,0.002850125507090221,0.0004532584106825116
14,0.8360210170232278,0.8358102639516195,0.00014999469971144208,6.979994746340405e-06,9.299321683068722e-08,1.6515310851931222e-11,3.2203027655460424e-05,0.0,0.002857028809254795,0.0003520365877844011
15,0.7848325592719997,0.7846273475637039,0.0001505969067920887,6.994254379814417e-06,9.430658117389375e-08,1.6515310996491513e-11,3.220302847969e-05,0.0,0.0028690431260353457,0.00025750000000000013
16,0.7533811855218175,0.7531825654829541,0.00015016470933915116,6.999330814494442e-06,9.48816130108554e-08,1.651531101907906e-11,3.220302934299942e-05,0.0,0.0028603884605521066,0.00017378034985236535
17,0.7182720878849503,0.7180756218731403,0.00015089119910764262,7.007817423243523e-06,9.604472302656338e-08,1.6515310883553787e-11,3.2203028372516464e-05,0.0,0.002874900109569959,0.00010453658778440106
18,0.697870066494886,0.6976750933875641,0.0001514364791053898,7.024990525887158e-06,9.577631499002592e-08,1.6515311086841695e-11,3.2203028677457723e-05,0.0,0.0028857716318574,5.279499846691252e-05
19,0.6810689614714818,0.6808750235165159,0.00015137774835238815,7.020116041663489e-06,9.658728091406961e-08,1.6515311037149094e-11,3.2203028403306654e-05,0.0,0.002884605954629175,2.081693763676618e-05
20,0.6723349880835627,0.6721434916059176,0.0001514614674438993,7.025800343285482e-06,9.627674744476049e-08,1.651531087000126e-11,3.2203028882923e-05,0.0,0.0028862692637024643,1e-05
