epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,38.02882036846131,37.421991646289825,0.0,6.917696831010289e-05,0.015480130633174364,8.036764503079515e-05,0.0007944067593825821,0.00022074068488109333,0.012738893691372747,0.0004
2,31.001833877759054,30.714354236920673,0.0,6.911384472611341e-05,0.016729108307724044,8.185074034372519e-05,0.000695512146345815,0.0005504192801405831,0.012720449249172816,0.0006
3,21.1136668324519,21.07010716199875,0.0,6.915869877370066e-05,0.01609989452602652,0.00011111541167944476,0.0006222252144804467,0.0011145930996766158,0.01277494598495347,0.0008
4,11.120225324282123,11.116949861248335,0.0,6.959650683313612e-05,0.016224317308418296,0.00012625921666161352,0.0005309917832316083,0.002168388992383067,0.01294341423423854,0.001
5,4.472614046392057,4.470400241514047,0.0,7.03356313920267e-05,0.019576168235895846,8.281261602860468e-05,0.00041162353846857513,0.003968626428104471,0.013183099298657908,0.001
6,1.9938703680600156,1.99240301673611,0.0,7.07206333411629e-05,0.01914252489223145,6.755663902898353e-05,0.0003967213041372967,0.0048096593624601764,0.013361203108615882,0.0009891830623632338
7,1.368267810024766,1.3671139025439818,0.0,7.095613986981182e-05,0.01903026021439776,6.244098369734274e-05,0.0004245801365243551,0.005130285157065373,0.01343629010875702,0.0009572050015330874
8,1.09351076050325,1.092561850634714,0.0,7.101127981930706e-05,0.01895669978936591,6.174314861103387e-05,0.00043706366439740424,0.005253574107579577,0.013476273398737248,0.000905463412215599
9,0.9614138213685995,0.960601795775195,0.0,7.104653354398731e-05,0.019136386501486413,6.084373103476537e-05,0.00043145808554830484,0.0053327340016646,0.013507427964820332,0.0008362196501476348
10,0.8547106969375212,0.8540286958838502,0.0,7.106552291702428e-05,0.019221629372623283,5.9393985244090196e-05,0.0004427755727931526,0.005368932492274325,0.013496974466155129,0.0007524999999999999
11,0.7741150753166343,0.7735258281851808,0.0,7.107057678013007e-05,0.01921120551317775,6.0865907319869926e-05,0.000426038339810475,0.005400314427485379,0.013517471310478868,0.000657963412215599
12,0.7028484067319974,0.7022841172292829,0.0,7.107529321122759e-05,0.019244284347223584,6.170143456074584e-05,0.0004363595356456547,0.005408792577024239,0.013519834217125512,0.0005567415893174885
13,0.632719258248926,0.6321960122634968,0.0,7.10921378678601e-05,0.019300975218357053,6.170726034800585e-05,0.00044070948544572275,0.005418711603851989,0.01352888473350807,0.0004532584106825116
14,0.5803872853606814,0.5798927232002219,0.0,7.108703373622423e-05,0.019279750801312428,6.299193015972075e-05,0.0004407981524157852,0.005431184351133804,0.01352795327450925,0.0003520365877844011
15,0.5388182960629706,0.5383625899751981,0.0,7.109957670081712e-05,0.019285711549552314,6.39077952655498e-05,0.0004469308903670329,0.005444703376269899,0.013528090603964907,0.00025750000000000013
16,0.49891472221111144,0.4984533612926801,0.0,7.109400132302805e-05,0.019296097658904426,6.449096647050585e-05,0.0004431267379440366,0.00544196986205255,0.013533099539320878,0.00017378034985236535
17,0.46782206566513196,0.4673677054233849,0.0,7.109855620039222e-05,0.019361619946721476,6.502632690323178e-05,0.0004428674592607725,0.005459988443665982,0.013528719243064794,0.00010453658778440106
18,0.44837764674783404,0.4479366436911126,0.0,7.109776855903267e-05,0.01933151210929888,6.554955304712469e-05,0.0004437207016015539,0.00545869017757165,0.013536792141773427,5.279499846691252e-05
19,0.4328973355073155,0.43244087618465227,0.0,7.109599728967926e-05,0.019349690725600038,6.580068827588548e-05,0.00044251625956803764,0.005460214238458623,0.013534304367567529,2.081693763676618e-05
20,0.42449658604899315,0.4240626029980679,0.0,7.109366812585449e-05,0.019355443026142893,6.594231467715872e-05,0.0004418045168487576,0.005465926364801514,0.013536504539388261,1e-05
