epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,39.887014663157366,37.46882359186808,9.056544580186406,6.918360876776812e-05,0.01429524046155469,8.035857577700274e-05,0.0007860912713795187,9.218701927693473e-05,0.012741495079050461,0.0004
2,34.8892710202684,31.058601299921673,8.818251177668571,6.910103341321398e-05,0.013742087340991324,8.145471592039637e-05,0.0006786656944655078,0.00018472617693987559,0.01272592626264668,0.0006
3,27.074819729551866,21.61151499549548,9.020982726166645,6.914312792597836e-05,0.013085977171310029,0.00010280679809208475,0.0005687520288499096,0.0007445510430746557,0.012771171799916678,0.0008
4,20.421285383199272,13.10047239313523,9.147158653785786,6.947637169218979e-05,0.01189318116303184,0.00010758407779576373,0.0004630305987423829,0.0015043460892532796,0.012876462798885768,0.001
5,16.038149564629673,7.069815296679735,8.966494229932627,6.992873417743795e-05,0.009838822416592544,7.954101111333027e-05,0.0003348619905902221,0.0024309635191457346,0.012992187592014185,0.001
6,13.007912867622508,4.358563234408696,8.648122089604536,7.010974630361488e-05,0.007803063548635691,6.70821508492736e-05,0.00027266139882916224,0.0031623531164465626,0.013107144969884152,0.0009891830623632338
7,11.60729256633931,3.2969889814654985,8.309156863639751,7.021926119440043e-05,0.006314763199043227,6.0608514483343846e-05,0.0002506887542021256,0.0035801929395044376,0.013154102051354736,0.0009572050015330874
8,10.738160635234786,2.649074064567685,8.088034488260746,7.029448135635145e-05,0.005320779174022998,5.533013768399542e-05,0.00023832885816924923,0.0038674592627406432,0.01315396595994874,0.000905463412215599
9,10.271801043082936,2.3923773504793644,7.8784457842508955,7.034119815330087e-05,0.004621647375339914,5.280085993793667e-05,0.00023245940574649163,0.00401190633783699,0.013163439767292099,0.0008362196501476348
10,9.855108260472056,2.1685894870509705,7.685587257146835,7.037407127086226e-05,0.003972831266461678,4.99047296405782e-05,0.00021727928490615037,0.004155401780735701,0.013148513518899563,0.0007524999999999999
11,9.581519400854214,2.0453477619836726,7.535330891609192,7.037921497499156e-05,0.003526914147490364,4.898222435182712e-05,0.00021002667066719974,0.004232943070140512,0.0131455600700671,0.000657963412215599
12,9.42184190595693,1.9470036048442125,7.474022756020228,7.038446015409743e-05,0.00326986555410258,4.760615377108479e-05,0.00020147535156903965,0.004305879940754191,0.013144817744129492,0.0005567415893174885
13,9.211240962789438,1.8676709675540526,7.342783036331336,7.04187367640922e-05,0.0029290617021615617,4.622906187516188e-05,0.00020467618659836262,0.004344778419181239,0.013144879141994656,0.0004532584106825116
14,9.013532005686708,1.7798306376983721,7.23298092931509,7.04032069383705e-05,0.002670670600309677,4.516095943548256e-05,0.00019658745410803627,0.0043710054984937114,0.01312782147397229,0.0003520365877844011
15,8.908416766853406,1.7262210852156084,7.181479747096698,7.042154157943514e-05,0.0025182393201248487,4.442425927209115e-05,0.00019708109086498857,0.004397059029239851,0.013119147336813816,0.00025750000000000013
16,8.80645236649381,1.6942526704321306,7.1115017781655,7.040271796180757e-05,0.0023275834100786597,4.407614412116345e-05,0.00018456758744870663,0.004428450846414004,0.013124966103835808,0.00017378034985236535
17,8.719709402321238,1.6578296317408483,7.061187477161487,7.043084110591735e-05,0.0022089560158444024,4.359057953706724e-05,0.0001884869250261545,0.004436981863060889,0.013114626951088818,0.00010453658778440106
18,8.66043512734806,1.6380794545014699,7.021677813182275,7.042430321746451e-05,0.002097260505555217,4.315571497196894e-05,0.00018408980391389682,0.004456262659611336,0.013111599848040592,5.279499846691252e-05
19,8.616494604380478,1.605054723098874,7.010779033104579,7.044021623414665e-05,0.002055165903584566,4.2830263841627435e-05,0.00018693961774829404,0.004464443198230583,0.013120125571125149,2.081693763676618e-05
20,8.598603216240994,1.5966082140803337,7.001341449717681,7.042846672788983e-05,0.002024390151442882,4.27178647820862e-05,0.00018328552548988833,0.004472761754489814,0.013115954644490557,1e-05
