model,horizon,n_storms,mean,ci95_lo,ci95_hi
CLIPER (climatology+persistence),6,107,45.20314617409762,41.932739183688085,48.695561389709034
CLIPER (climatology+persistence),12,107,98.41012310793113,90.92528769209491,106.3716220680149
CLIPER (climatology+persistence),24,106,220.85613280699235,202.18914304508377,240.5738642642317
CLIPER (climatology+persistence),48,100,500.8089335944359,455.84262966326816,548.3152736284719
CLIPER (climatology+persistence),72,89,766.513244569151,697.5247753693093,839.0922018155317
CLIPER (climatology+persistence),120,64,1340.016694963769,1185.0732474505057,1498.1233778033713
Persistence,6,107,37.711924104093306,34.70854460907199,40.861374917095404
Persistence,12,107,92.06955536081625,85.10502053422947,99.60760188694154
Persistence,24,106,226.67088526265613,209.04066088290517,245.42661632370877
Persistence,48,100,548.4014146567571,502.0491067855921,596.7990728195301
Persistence,72,89,865.9157815431604,796.2579296253244,938.0675849195458
Persistence,120,64,1536.5094600835814,1387.3911935816657,1687.06020415946
