storm_id,model,horizon,error
AL012020,Persistence,6,36.526592274121846
AL012020,CLIPER (climatology+persistence),6,21.26080568510082
AL012020,Persistence,12,97.02289262672258
AL012020,CLIPER (climatology+persistence),12,70.77862458990906
AL012020,Persistence,24,182.02980712909468
AL012020,CLIPER (climatology+persistence),24,138.84961187560125
AL012020,Persistence,48,63.82690550221416
AL012020,CLIPER (climatology+persistence),48,161.0079212674032
AL012020,Persistence,72,460.08801763716235
AL012020,CLIPER (climatology+persistence),72,375.3242972698165
AL012020,Persistence,6,28.801553099720596
AL012020,CLIPER (climatology+persistence),6,31.853872369088776
AL012020,Persistence,12,47.656287448851344
AL012020,CLIPER (climatology+persistence),12,54.643425076325926
AL012020,Persistence,24,101.70470090456791
AL012020,CLIPER (climatology+persistence),24,143.34941351022292
AL012020,Persistence,48,323.2144533489138
AL012020,CLIPER (climatology+persistence),48,382.3586333592217
AL012020,Persistence,72,666.3476893420709
AL012020,CLIPER (climatology+persistence),72,617.877139205328
AL012020,Persistence,6,9.531265191467096
AL012020,CLIPER (climatology+persistence),6,14.881170119011957
AL012020,Persistence,12,36.032715496057776
AL012020,CLIPER (climatology+persistence),12,53.249366721964826
AL012020,Persistence,24,182.21795019318742
AL012020,CLIPER (climatology+persistence),24,218.64201771958594
AL012020,Persistence,48,655.3261022456945
AL012020,CLIPER (climatology+persistence),48,633.1318256579412
AL012020,Persistence,72,1056.9063331460866
AL012020,CLIPER (climatology+persistence),72,913.0606642658328
AL012020,Persistence,6,24.163647597539978
AL012020,CLIPER (climatology+persistence),6,37.290731989328776
AL012020,Persistence,12,80.05208958379065
AL012020,CLIPER (climatology+persistence),12,107.79668399699437
AL012020,Persistence,24,250.6743948077105
AL012020,CLIPER (climatology+persistence),24,287.1898706796571
AL012020,Persistence,48,704.441642160516
AL012020,CLIPER (climatology+persistence),48,684.6661207327878
AL012020,Persistence,72,1065.3037593524946
AL012020,CLIPER (climatology+persistence),72,924.1176692540571
AL012020,Persistence,6,33.35847799336809
AL012020,CLIPER (climatology+persistence),6,54.917904036357385
AL012020,Persistence,12,90.44585161818753
AL012020,CLIPER (climatology+persistence),12,127.6621454893327
AL012020,Persistence,24,255.48339462976705
AL012020,CLIPER (climatology+persistence),24,286.2438800633687
AL012020,Persistence,48,758.2860654806705
AL012020,CLIPER (climatology+persistence),48,690.9227614435972
AL012020,Persistence,72,1324.0417808472002
AL012020,CLIPER (climatology+persistence),72,1108.0875721744526
AL012020,Persistence,6,47.22918028179445
AL012020,CLIPER (climatology+persistence),6,60.9002407890238
AL012020,Persistence,12,126.73465826225329
AL012020,CLIPER (climatology+persistence),12,137.55266592216566
AL012020,Persistence,24,382.4570098262106
AL012020,CLIPER (climatology+persistence),24,355.49749839393024
AL012020,Persistence,48,1073.114800106393
AL012020,CLIPER (climatology+persistence),48,895.4732720941032
AL012020,Persistence,6,42.455620545456405
AL012020,CLIPER (climatology+persistence),6,49.0238712368534
AL012020,Persistence,12,139.2403279826411
AL012020,CLIPER (climatology+persistence),12,131.023299050849
AL012020,Persistence,24,401.8863990204622
AL012020,CLIPER (climatology+persistence),24,357.7290178204
AL012020,Persistence,48,1181.8584221376143
AL012020,CLIPER (climatology+persistence),48,954.8931657381461
AL012020,Persistence,6,57.0956863889052
AL012020,CLIPER (climatology+persistence),6,59.90120353819167
AL012020,Persistence,12,127.90794588898542
AL012020,CLIPER (climatology+persistence),12,130.61855258475782
AL012020,Persistence,24,380.45261511884945
AL012020,CLIPER (climatology+persistence),24,348.46524434720976
AL012020,Persistence,48,1178.791852044849
AL012020,CLIPER (climatology+persistence),48,965.3892768422878
AL012020,Persistence,6,14.241343611490224
AL012020,CLIPER (climatology+persistence),6,41.397139982007694
AL012020,Persistence,12,75.51779537590326
AL012020,CLIPER (climatology+persistence),12,106.42778009653603
AL012020,Persistence,24,311.47034287354535
AL012020,CLIPER (climatology+persistence),24,278.92371333043695
AL012020,Persistence,48,1083.2023389212554
AL012020,CLIPER (climatology+persistence),48,896.4490259832639
AL012020,Persistence,6,47.87559591329314
AL012020,CLIPER (climatology+persistence),6,62.048333076816284
AL012020,Persistence,12,123.58194059669174
AL012020,CLIPER (climatology+persistence),12,132.14121654604386
AL012020,Persistence,24,429.6125043712319
AL012020,CLIPER (climatology+persistence),24,365.76316788885697
AL012020,Persistence,6,37.786486544528785
AL012020,CLIPER (climatology+persistence),6,41.755211419692074
AL012020,Persistence,12,165.5173761362774
AL012020,CLIPER (climatology+persistence),12,138.21673344566392
AL012020,Persistence,24,486.56641601131736
AL012020,CLIPER (climatology+persistence),24,400.734402376561
AL012020,Persistence,6,91.4656528961117
AL012020,CLIPER (climatology+persistence),6,83.22249695100348
AL012020,Persistence,12,196.12886741692995
AL012020,CLIPER (climatology+persistence),12,173.29033980491496
AL012020,Persistence,24,499.86536776140713
AL012020,CLIPER (climatology+persistence),24,435.8316047432683
AL012020,Persistence,6,18.10509996911418
AL012020,CLIPER (climatology+persistence),6,31.909337463798035
AL012020,Persistence,12,76.44082909172897
AL012020,CLIPER (climatology+persistence),12,94.6400195123334
AL012020,Persistence,24,215.51127428514772
AL012020,CLIPER (climatology+persistence),24,237.00053294827632
AL012020,Persistence,6,42.79877007223033
