epoch,L_train,L_recon,L_KL,val_loss,lr
1,0.29826,0.292026,0.062336,0.249434,0.0009939057285945933
2,0.204086,0.191552,0.125332,0.145133,0.0009757729755661012
3,0.10662,0.091151,0.15469,0.071613,0.0009460482294732422
4,0.058315,0.052702,0.056128,0.044219,0.0009054634122155991
5,0.042604,0.038931,0.036729,0.040356,0.0008550178566873411
6,0.0366,0.032855,0.037448,0.03416,0.0007959536998847743
7,0.033693,0.029752,0.039408,0.03186,0.0007297252973710758
8,0.031193,0.027099,0.040941,0.030745,0.0006579634122155991
9,0.028212,0.024125,0.040873,0.02697,0.0005824350601949144
10,0.026982,0.022849,0.041335,0.025826,0.0005050000000000001
11,0.025865,0.021455,0.044097,0.024669,0.000427564939805086
12,0.023465,0.018837,0.046278,0.022936,0.0003520365877844012
13,0.022116,0.017275,0.048409,0.02261,0.00028027470262892445
14,0.021062,0.015987,0.050748,0.020538,0.0002140463001152259
15,0.020142,0.015035,0.05107,0.019745,0.00015498214331265904
16,0.019178,0.014084,0.050938,0.01943,0.00010453658778440108
17,0.019016,0.013834,0.051824,0.018881,6.395177052675796e-05
18,0.018076,0.013012,0.050643,0.018798,3.422702443389901e-05
19,0.018345,0.013281,0.050639,0.018888,1.6094271405406862e-05
20,0.018364,0.013267,0.050969,0.01849,1e-05
