method,horizon_step,lead_time_h,boundedness_violation,infra_monotonic_violation,resource_replenishment_violation,temporal_continuity_l1,exposure_exceeds_hazard_residual,metric_scope
direct_persistence,1,6,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,2,12,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,3,18,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,4,24,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,5,30,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,6,36,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,7,42,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,8,48,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,9,54,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,10,60,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,11,66,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_persistence,12,72,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,1,6,0.0,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,2,12,0.0,2.396e-05,1.082e-05,0.03900855,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,3,18,0.0,1.505e-05,1.082e-05,0.038086,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,4,24,0.0,1.105e-05,9.09e-06,0.03710192,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,5,30,0.0,8.44e-06,7.56e-06,0.03589427,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,6,36,0.0,6.87e-06,6.59e-06,0.03440341,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,7,42,0.0,5.82e-06,5.87e-06,0.03270123,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,8,48,0.0,5.07e-06,5.11e-06,0.03068602,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,9,54,0.0,4.51e-06,4.55e-06,0.02874943,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,10,60,0.0,4.07e-06,4.11e-06,0.02691311,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,11,66,0.0,3.73e-06,3.76e-06,0.02537995,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
direct_linear_extrapolation,12,72,0.0,3.44e-06,3.47e-06,0.0240484,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,1,6,0.00179995,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,2,12,0.0009426,0.00055349,0.0001409,0.02162818,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,3,18,0.0006284,0.00106534,7.045e-05,0.02511412,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,4,24,0.0004713,0.00157573,4.697e-05,0.02614701,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,5,30,0.00037704,0.00201249,6.607e-05,0.02457724,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,6,36,0.0003142,0.00231852,0.00027423,0.02173781,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,7,42,0.00026932,0.00243254,0.00087455,0.01889403,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,8,48,0.00023565,0.00235632,0.00178461,0.01680099,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,9,54,0.00020947,0.00217766,0.00242146,0.01532302,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,10,60,0.00018852,0.00196507,0.00261851,0.01403431,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,11,66,0.00017138,0.00177026,0.00250585,0.01283125,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_deterministic_mean,12,72,0.0001571,0.00161023,0.00228932,0.01175331,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,1,6,0.00185943,0.0,0.0,0.0,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,2,12,0.0010179,0.00263427,0.00164977,0.02577496,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,3,18,0.00067866,0.00259828,0.00151015,0.02767109,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,4,24,0.00050899,0.00305297,0.00127983,0.02805358,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,5,30,0.0004072,0.00393413,0.00189533,0.02656959,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,6,36,0.00033933,0.0044556,0.00294496,0.02519206,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,7,42,0.00029085,0.00470603,0.0054518,0.02380731,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,8,48,0.0002545,0.00479034,0.00696657,0.02298651,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,9,54,0.00022622,0.00479212,0.00810004,0.02245388,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,10,60,0.0002036,0.00470065,0.00936406,0.02198641,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,11,66,0.00018509,0.00461085,0.00890878,0.02153121,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
rssm_stochastic_mean,12,72,0.00016966,0.00465342,0.00855562,0.0210709,0.0,"normalized disaster-state consistency proxy, not ERA5/PDE physics residual"
