sequence_id,spearman_rank_correlation,kendall_tau,top1_predicted_action,top1_matches_expected,pairwise_correct,pairwise_total,strict_full_order_matches_expected
0,0.9,0.8,earlier_evacuation_24h,False,9,10,False
1,1.0,1.0,earlier_evacuation_36h,True,10,10,True
2,1.0,1.0,earlier_evacuation_36h,True,10,10,True
3,0.9,0.8,earlier_evacuation_24h,False,9,10,False
4,1.0,1.0,earlier_evacuation_36h,True,10,10,True
5,1.0,1.0,earlier_evacuation_36h,True,10,10,True
6,1.0,1.0,earlier_evacuation_36h,True,10,10,True
7,1.0,1.0,earlier_evacuation_36h,True,10,10,True
8,1.0,1.0,earlier_evacuation_36h,True,10,10,True
9,1.0,1.0,earlier_evacuation_36h,True,10,10,True
10,1.0,1.0,earlier_evacuation_36h,True,10,10,True
11,1.0,1.0,earlier_evacuation_36h,True,10,10,True
12,1.0,1.0,earlier_evacuation_36h,True,10,10,True
13,1.0,1.0,earlier_evacuation_36h,True,10,10,True
14,1.0,1.0,earlier_evacuation_36h,True,10,10,True
15,1.0,1.0,earlier_evacuation_36h,True,10,10,True
16,1.0,1.0,earlier_evacuation_36h,True,10,10,True
17,1.0,1.0,earlier_evacuation_36h,True,10,10,True
18,1.0,1.0,earlier_evacuation_36h,True,10,10,True
19,1.0,1.0,earlier_evacuation_36h,True,10,10,True
20,0.6,0.4,earlier_evacuation,False,7,10,False
21,1.0,1.0,earlier_evacuation_36h,True,10,10,True
22,1.0,1.0,earlier_evacuation_36h,True,10,10,True
23,1.0,1.0,earlier_evacuation_36h,True,10,10,True
