method,horizon_step,lead_time_h,state_mse,hazard_mse,infra_mse,exposure_mse,resource_mse,n_sequences,source
direct_persistence,1,6,0.0051722,0.01335602,0.00020946,0.00681386,0.00030946,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,2,12,0.01318126,0.03499343,0.00063283,0.01609824,0.00100055,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,3,18,0.02363034,0.06418123,0.00142713,0.02670076,0.00221226,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,4,24,0.03484376,0.09631564,0.00263348,0.03632315,0.00410277,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,5,30,0.04527596,0.12646244,0.00427488,0.0436972,0.00666935,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,6,36,0.05395444,0.15112643,0.00627247,0.04863644,0.00978243,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,7,42,0.06025521,0.16785815,0.00852984,0.05132441,0.01330844,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,8,48,0.06395427,0.17564936,0.01091156,0.05224536,0.01701077,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,9,54,0.06535138,0.17533754,0.0132742,0.05210331,0.02069049,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,10,60,0.06522897,0.16964804,0.01549846,0.05158313,0.02418626,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,11,66,0.06443577,0.16175953,0.01753666,0.05108574,0.02736115,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_persistence,12,72,0.06349054,0.15374494,0.01933792,0.05069331,0.03018599,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,1,6,0.00042356,0.00112872,5.356e-05,0.00044943,6.251e-05,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,2,12,0.00185173,0.00475822,0.00015281,0.0022682,0.00022768,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,3,18,0.00524598,0.01260666,0.00039896,0.00738431,0.00059399,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,4,24,0.0117169,0.02727459,0.0008461,0.01745192,0.00129501,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,5,30,0.02220404,0.0497254,0.00154337,0.03515706,0.00239034,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,6,36,0.0367832,0.07951298,0.00248273,0.06128022,0.00385689,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,7,42,0.05464098,0.11503202,0.00363656,0.09423395,0.00566139,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,8,48,0.0737801,0.15146209,0.00492859,0.13105927,0.00767047,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,9,54,0.09246845,0.18578964,0.00626737,0.16807137,0.00974542,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,10,60,0.10981987,0.21754993,0.00756081,0.20239784,0.01177089,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,11,66,0.12582421,0.24708603,0.00875446,0.2338306,0.01362576,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
direct_linear_extrapolation,12,72,0.14044568,0.274268,0.00982345,0.26240382,0.01528748,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,1,6,0.01953407,0.05011019,0.00143087,0.0250543,0.0010811,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,2,12,0.02225862,0.05455988,0.00151278,0.03183621,0.00089029,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,3,18,0.025941,0.06266954,0.00164382,0.03842001,0.00087377,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,4,24,0.03004417,0.07385106,0.00188121,0.04315102,0.00117574,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,5,30,0.03350498,0.08506726,0.00235343,0.0449212,0.00158392,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,6,36,0.03562253,0.09334315,0.00309743,0.04392776,0.00204337,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,7,42,0.03627856,0.09717546,0.00409882,0.04109563,0.00267713,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,8,48,0.03578837,0.0965642,0.0052789,0.03767369,0.00357788,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,9,54,0.03472203,0.09289074,0.00652047,0.03471064,0.004714,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,10,60,0.0337221,0.08841809,0.00772049,0.03273846,0.00596431,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,11,66,0.03319518,0.08501715,0.00883471,0.03171815,0.00716793,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_deterministic_mean,12,72,0.03317426,0.08328068,0.00982057,0.03130749,0.00824909,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,1,6,0.01895822,0.04769041,0.00137472,0.02498657,0.00109006,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,2,12,0.02150956,0.05175104,0.00139731,0.03151639,0.00101303,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,3,18,0.02577365,0.06146257,0.00148253,0.03880119,0.001108,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,4,24,0.0304554,0.0743935,0.00173041,0.0440679,0.00144958,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,5,30,0.03393858,0.08579817,0.00226577,0.04574547,0.0018007,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,6,36,0.03567309,0.0930054,0.00308981,0.04420064,0.00227637,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,7,42,0.03609536,0.09612223,0.00417153,0.0410633,0.00292138,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,8,48,0.03555672,0.09532563,0.00540553,0.03754314,0.00386247,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,9,54,0.03467499,0.09205299,0.00671553,0.03473345,0.00511789,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,10,60,0.03386008,0.0879279,0.00795059,0.03288049,0.00660924,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,11,66,0.03328892,0.08454382,0.00906014,0.03182203,0.00766417,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
rssm_stochastic_mean,12,72,0.03322016,0.08283782,0.01006753,0.03146812,0.00844706,24,checkpoints/world_model/worldmodel_best.pt; synthetic held-out extension from model.world_model.train._make_sequences
