split,group_key,storm_id,storm_name,year,basin,source,n_observations,n_era5_observations
train,AL|1980|UNNAMED,AL011980,UNNAMED,1980,AL,hurdat2,17,0
train,AL|1980|UNNAMED,AL021980,UNNAMED,1980,AL,hurdat2,17,0
train,AL|1980|UNNAMED,AL031980,UNNAMED,1980,AL,hurdat2,17,0
train,AL|1980|UNNAMED,AL051980,UNNAMED,1980,AL,hurdat2,17,0
train,AL|1980|UNNAMED,AL081980,UNNAMED,1980,AL,hurdat2,17,0
train,AL|1980|UNNAMED,AL151980,UNNAMED,1980,AL,hurdat2,9,0
train,AL|1980|UNNAMED,AL171980,UNNAMED,1980,AL,hurdat2,25,0
train,AL|1980|ALLEN,AL041980,ALLEN,1980,AL,hurdat2,46,0
train,AL|1980|BONNIE,AL061980,BONNIE,1980,AL,hurdat2,24,0
train,AL|1980|CHARLEY,AL071980,CHARLEY,1980,AL,hurdat2,22,0
train,AL|1980|GEORGES,AL091980,GEORGES,1980,AL,hurdat2,32,0
train,AL|1980|EARL,AL101980,EARL,1980,AL,hurdat2,27,0
train,AL|1980|IVAN,AL141980,IVAN,1980,AL,hurdat2,45,0
train,AL|1980|KARL,AL181980,KARL,1980,AL,hurdat2,13,0
train,AL|1981|UNNAMED,AL011981,UNNAMED,1981,AL,hurdat2,5,0
train,AL|1981|UNNAMED,AL021981,UNNAMED,1981,AL,hurdat2,10,0
train,AL|1981|UNNAMED,AL041981,UNNAMED,1981,AL,hurdat2,11,0
train,AL|1981|UNNAMED,AL051981,UNNAMED,1981,AL,hurdat2,7,0
train,AL|1981|UNNAMED,AL071981,UNNAMED,1981,AL,hurdat2,8,0
train,AL|1981|UNNAMED,AL081981,UNNAMED,1981,AL,hurdat2,7,0
train,AL|1981|UNNAMED,AL111981,UNNAMED,1981,AL,hurdat2,19,0
train,AL|1981|UNNAMED,AL121981,UNNAMED,1981,AL,hurdat2,12,0
train,AL|1981|UNNAMED,AL171981,UNNAMED,1981,AL,hurdat2,11,0
train,AL|1981|UNNAMED,AL191981,UNNAMED,1981,AL,hurdat2,36,0
train,AL|1981|UNNAMED,AL221981,UNNAMED,1981,AL,hurdat2,20,0
train,AL|1981|ARLENE,AL031981,ARLENE,1981,AL,hurdat2,11,0
train,AL|1981|BRET,AL061981,BRET,1981,AL,hurdat2,9,0
train,AL|1981|CINDY,AL091981,CINDY,1981,AL,hurdat2,12,0
train,AL|1981|DENNIS,AL101981,DENNIS,1981,AL,hurdat2,60,0
train,AL|1981|FLOYD,AL141981,FLOYD,1981,AL,hurdat2,37,0
train,AL|1981|GERT,AL151981,GERT,1981,AL,hurdat2,36,0
train,AL|1981|HARVEY,AL161981,HARVEY,1981,AL,hurdat2,34,0
train,AL|1981|IRENE,AL181981,IRENE,1981,AL,hurdat2,48,0
train,AL|1981|JOSE,AL201981,JOSE,1981,AL,hurdat2,15,0
train,AL|1981|KATRINA,AL211981,KATRINA,1981,AL,hurdat2,20,0
train,AL|1982|ALBERTO,AL011982,ALBERTO,1982,AL,hurdat2,17,0
train,AL|1982|UNNAMED,AL021982,UNNAMED,1982,AL,hurdat2,12,0
train,AL|1982|UNNAMED,AL041982,UNNAMED,1982,AL,hurdat2,15,0
train,AL|1982|UNNAMED,AL071982,UNNAMED,1982,AL,hurdat2,15,0
train,AL|1982|CHRIS,AL051982,CHRIS,1982,AL,hurdat2,16,0
train,AL|1982|DEBBY,AL061982,DEBBY,1982,AL,hurdat2,30,0
train,AL|1982|ERNESTO,AL081982,ERNESTO,1982,AL,hurdat2,11,0
train,AL|1983|UNNAMED,AL011983,UNNAMED,1983,AL,hurdat2,22,0
train,AL|1983|UNNAMED,AL021983,UNNAMED,1983,AL,hurdat2,25,0
train,AL|1983|ALICIA,AL031983,ALICIA,1983,AL,hurdat2,25,0
train,AL|1983|BARRY,AL041983,BARRY,1983,AL,hurdat2,26,0
train,AL|1983|CHANTAL,AL051983,CHANTAL,1983,AL,hurdat2,20,0
train,AL|1984|UNNAMED,AL011984,UNNAMED,1984,AL,hurdat2,11,0
train,AL|1984|UNNAMED,AL021984,UNNAMED,1984,AL,hurdat2,8,0
train,AL|1984|UNNAMED,AL031984,UNNAMED,1984,AL,hurdat2,11,0
train,AL|1984|UNNAMED,AL041984,UNNAMED,1984,AL,hurdat2,10,0
train,AL|1984|UNNAMED,AL051984,UNNAMED,1984,AL,hurdat2,14,0
train,AL|1984|UNNAMED,AL091984,UNNAMED,1984,AL,hurdat2,8,0
train,AL|1984|UNNAMED,AL171984,UNNAMED,1984,AL,hurdat2,12,0
train,AL|1984|UNNAMED,AL191984,UNNAMED,1984,AL,hurdat2,20,0
train,AL|1984|ARTHUR,AL061984,ARTHUR,1984,AL,hurdat2,33,0
train,AL|1984|BERTHA,AL071984,BERTHA,1984,AL,hurdat2,22,0
train,AL|1984|CESAR,AL081984,CESAR,1984,AL,hurdat2,12,0
train,AL|1984|DIANA,AL101984,DIANA,1984,AL,hurdat2,33,31
train,AL|1984|EDOUARD,AL111984,EDOUARD,1984,AL,hurdat2,7,0
train,AL|1984|FRAN,AL121984,FRAN,1984,AL,hurdat2,21,0
train,AL|1984|GUSTAV,AL131984,GUSTAV,1984,AL,hurdat2,11,0
train,AL|1984|ISIDORE,AL151984,ISIDORE,1984,AL,hurdat2,25,0
train,AL|1984|JOSEPHINE,AL161984,JOSEPHINE,1984,AL,hurdat2,56,0
train,AL|1985|ANA,AL011985,ANA,1985,AL,hurdat2,16,0
train,AL|1985|BOB,AL021985,BOB,1985,AL,hurdat2,21,0
train,AL|1985|CLAUDETTE,AL031985,CLAUDETTE,1985,AL,hurdat2,30,0
train,AL|1985|DANNY,AL041985,DANNY,1985,AL,hurdat2,37,0
train,AL|1985|ELENA,AL051985,ELENA,1985,AL,hurdat2,33,0
train,AL|1985|UNNAMED,AL061985,UNNAMED,1985,AL,hurdat2,21,0
train,AL|1985|UNNAMED,AL071985,UNNAMED,1985,AL,hurdat2,10,0
