epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,38.21839682633678,37.4231481552124,0.9441058873198926,6.917670166709892e-05,0.014941223767285313,8.036791662865046e-05,0.0007937090560972138,0.0001501644321327452,0.01273883421830154,0.0004
2,31.306558671096962,30.636374056339264,0.9385635557894906,6.911653480301538e-05,0.014660306039634937,8.267931696082087e-05,0.0006915747455309429,0.00028598355917589896,0.01271915788189896,0.0006
3,21.52599700257512,20.902192731698353,0.9589246907271445,6.917307005949169e-05,0.013958116059560174,0.00011160296662637847,0.0006078523822452553,0.0008476750032665829,0.012778116664776462,0.0008
4,12.101061314904655,11.258929943044981,1.0483357617631555,6.959086491065136e-05,0.013832705652021104,0.00012142686902431403,0.0005223456365304932,0.0018215494322551724,0.012932647680827358,0.001
5,5.62730594491677,4.45585202301542,1.169230752935012,7.029740923295928e-05,0.013788640081960088,7.880098265407771e-05,0.0003900515766683081,0.0031374781028716825,0.01316385169836091,0.001
6,3.2963616837490313,2.054953658953309,1.2399520144487421,7.066797428478822e-05,0.01359251555428879,6.465137264891989e-05,0.00036657677290463653,0.003952242708085881,0.013324116846282172,0.0009891830623632338
7,2.711066047893837,1.4394753569116194,1.2703688046894968,7.088666354112168e-05,0.013507971676517627,6.061446168814655e-05,0.0003785358237848868,0.004289915836125147,0.013390173756382259,0.0009572050015330874
8,2.4560347924857524,1.182640482361118,1.2724196529015899,7.094172411825639e-05,0.013330676855427251,5.859351476071121e-05,0.00038192799475685507,0.004395602291576021,0.013427565064072647,0.000905463412215599
9,2.3218352775734274,1.0483772835383813,1.2726457292834918,7.095081769629512e-05,0.013223982370012285,5.774847937800587e-05,0.0003831450709602298,0.0044490541974179605,0.013451401450159514,0.0008362196501476348
10,2.1926368903442985,0.9257571417838335,1.2662106296047568,7.097630047307273e-05,0.013037854085875248,5.699140100053531e-05,0.0003746788297197175,0.004483541582885664,0.013443306575936731,0.0007524999999999999
11,2.097140518850665,0.8424573391675949,1.2540949769318104,7.09919199266551e-05,0.012727468296361621,5.818878275931638e-05,0.00036397248269774235,0.0045209849801418995,0.013450636925578388,0.000657963412215599
12,2.0272608541506543,0.786066989103953,1.240658198793729,7.099572474089655e-05,0.01242643802955475,5.849248678183964e-05,0.0003712035861743364,0.00453280044409136,0.013454725643896381,0.0005567415893174885
13,1.942492118015328,0.7248672672236959,1.2171267612526815,7.099958151949674e-05,0.011919877111722599,5.8743661971523885e-05,0.0003606451820322339,0.004555293434047296,0.01345969801999066,0.0004532584106825116
14,1.8781892319569427,0.6814304540554682,1.1962883584201336,7.099994307679935e-05,0.011458319075851856,5.942449119326435e-05,0.0003655055983813327,0.004575471565961682,0.013450751595883048,0.0003520365877844011
15,1.8193405260849527,0.6418865559001764,1.177008111961186,7.101325804607465e-05,0.011011249439131158,6.043758406804045e-05,0.00035874639756154164,0.00460814264806686,0.01345489828660599,0.00025750000000000013
16,1.7703503257076818,0.6102103609591722,1.1596972386663158,7.10156356499662e-05,0.01059807803358126,6.0838120703010645e-05,0.000361449516930179,0.004639450239968331,0.01345904672901573,0.00017378034985236535
17,1.7306905051312451,0.5843771419798335,1.1458629152427118,7.101759355047459e-05,0.010300797908712411,6.123969743991135e-05,0.00036004747518821506,0.00465042415332088,0.01345524966988402,0.00010453658778440106
18,1.7030487722507435,0.5667762557665507,1.1358370979626973,7.10266253302431e-05,0.010080576329831578,6.151536563455313e-05,0.00035395734641952004,0.0046620860157418065,0.013464761507748335,5.279499846691252e-05
19,1.6823476151127654,0.5536822189266483,1.128224599796037,7.10237231184389e-05,0.009911469386982693,6.162366112979119e-05,0.0003565030129095703,0.004669391409455177,0.01346221060885,2.081693763676618e-05
20,1.671902580360798,0.5447030143501858,1.1267711926872532,7.101925895843426e-05,0.009864133041446621,6.168682725160579e-05,0.00035388870416378876,0.004679571192051905,0.013464237280762367,1e-05
