epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,59.0662954673268,59.035150587558746,0.0,1.429687400319087e-07,6.324491932478231e-09,1.4877394423647914e-11,2.2210727493939448e-05,0.0,3.9954913705268304e-05,0.0004
2,49.47687141839875,49.47419402996699,0.0,3.9306112690577305e-07,3.3288857106035984e-08,1.855466704398766e-11,2.218426750803341e-05,0.0,0.00022884941720728116,0.0006
3,34.68996029576889,34.68958306312561,0.0,1.1794208898407987e-06,4.4147784872272666e-08,2.986949139271768e-11,2.51571111231641e-05,0.0,0.0005041308691033919,0.0008
4,19.713532433597532,19.71331622203191,0.0,1.955654319374389e-06,3.779708931025046e-08,2.8664391534561722e-11,1.868354423884e-05,0.0,0.0005258934088487877,0.001
5,9.544350894079287,9.544202856719494,0.0,3.3931058614674234e-06,3.4703362109903914e-08,1.7763867796432437e-11,1.0100538461325451e-05,0.0,0.0009849697961120303,0.001
6,4.700394873825331,4.700321587423484,0.0,5.02129730980035e-06,6.196545417521311e-08,1.3306096477109832e-11,8.821896403314137e-06,0.0,0.0016543043578470436,0.0009891830623632338
7,2.6644067486317717,2.664362550402681,0.0,5.656690151549053e-06,8.098062561264403e-08,1.2541882810983342e-11,8.948524633585938e-06,0.0,0.001968546014116631,0.0009572050015330874
8,1.8171256373939215,1.8170842671145995,0.0,5.936363623485856e-06,7.973027379056437e-08,1.1831524583845454e-11,8.874235231104421e-06,0.0,0.0021100597925093703,0.000905463412215599
9,1.3702799385674307,1.370244534065326,0.0,6.103141653094705e-06,7.999422239427882e-08,1.1584066799510904e-11,9.208556729293585e-06,0.0,0.0022061082260430944,0.0008362196501476348
10,1.1502602695675914,1.150227865204215,0.0,6.190756524896794e-06,8.05414889596771e-08,1.1382677596706928e-11,9.747641159426243e-06,0.0,0.002250228617413086,0.0007524999999999999
11,1.0180634340882762,1.0180332989742358,0.0,6.237425762852429e-06,8.139076039063535e-08,1.1274729292006479e-11,9.68733313862676e-06,0.0,0.002286901866985621,0.000657963412215599
12,0.9479533044030054,0.9479272483537594,0.0,6.269388803067007e-06,8.281170763938898e-08,1.1284438236628414e-11,9.560628773996882e-06,0.0,0.002304409095510588,0.0005567415893174885
13,0.8520739721826965,0.8520480459555984,0.0,6.292041106803481e-06,8.426080512953978e-08,1.1213094187434262e-11,9.925675652056043e-06,0.0,0.002322058818814791,0.0004532584106825116
14,0.7954895903657994,0.7954688919708133,0.0,6.303228190063237e-06,8.388138385736117e-08,1.1153697879033066e-11,9.8716906107299e-06,0.0,0.0023237502744753633,0.0003520365877844011
15,0.739458176569047,0.7394377927606305,0.0,6.3188131846914075e-06,8.452427654089452e-08,1.1127416122675623e-11,1.0010874191834773e-05,0.0,0.002336664596744716,0.00025750000000000013
16,0.701890024212112,0.7018723133951426,0.0,6.326685988729726e-06,8.497310656959318e-08,1.1116842305463186e-11,9.914472421120498e-06,0.0,0.002343605910785603,0.00017378034985236535
17,0.6724561410367565,0.6724392703423897,0.0,6.326053728855641e-06,8.533359380225036e-08,1.112235059008299e-11,9.902919299401939e-06,0.0,0.0023465262217238583,0.00010453658778440106
18,0.6533578148631184,0.653341718018055,0.0,6.335837606267584e-06,8.560317040403238e-08,1.1132525470588552e-11,9.716462293122655e-06,0.0,0.0023509242413031948,5.279499846691252e-05
19,0.6381385135099981,0.638123657554388,0.0,6.338216027283276e-06,8.620774403593028e-08,1.1136751058205633e-11,9.942332619120956e-06,0.0,0.0023548005998842805,2.081693763676618e-05
20,0.6301197624848965,0.630105571821332,0.0,6.341804277572767e-06,8.563116523270982e-08,1.1128317623229517e-11,9.858298258909789e-06,0.0,0.002359302404935685,1e-05
