lat,lon,population,inform_risk,region_id,region_name,country_income_group,country_income_group_label,rq2_exposure_active_cell,population_source,vulnerability_source,admin_source,infrastructure_source,airport_count_100km,port_count_100km,nearest_airport_km,nearest_port_km,infrastructure_access_score,infrastructure_access_score_norm
-36.75,43.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,False,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1386.824,1385.624,0,0.000000
-36.0,50.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,False,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1876.180,1555.926,0,0.000000
-35.25,49.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,False,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1831.175,1464.573,0,0.000000
-34.5,39.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,968.914,964.496,0,0.000000
-34.5,48.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1746.122,1375.943,0,0.000000
-33.75,40.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,995.048,972.190,0,0.000000
-33.0,40.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,966.299,930.451,0,0.000000
-33.0,42.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1168.314,1121.099,0,0.000000
-33.0,45.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1442.432,1227.726,0,0.000000
-33.0,48.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1584.138,1209.438,0,0.000000
-32.25,42.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1082.067,1026.039,0,0.000000
-32.25,42.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1151.495,1092.918,0,0.000000
-32.25,45.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,Natural Earth 1:10m airports v5.0.0 and ports v5.0.0; counts within 100 km of harmonized grid-cell center,0,0,1360.860,1162.705,0,0.000000
