marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error,signed_error,exposure_ratio
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,6,51,Deterministic mean-track,19222.84609819407,0.0,19222.84609819407,19222.84609819407,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,6,51,P90 envelope,273823.8144804597,0.0,273823.8144804597,273823.8144804597,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,6,51,Ensemble probability-weighted,11342.403979828341,0.0,11342.403979828341,11342.403979828341,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,6,51,Deterministic mean-track,0.0,52087.85167849211,52087.85167849211,-52087.85167849211,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,6,51,P90 envelope,468808.8694081772,52087.85167849211,416721.0177296851,416721.0177296851,9.000349492274333
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,6,51,Ensemble probability-weighted,7225.5032728045535,52087.85167849211,44862.34840568755,-44862.34840568755,0.13871762877462035
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,6,51,Deterministic mean-track,0.0,52087.85167849211,52087.85167849211,-52087.85167849211,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,6,51,P90 envelope,464263.7271915168,52087.85167849211,412175.8755130247,412175.8755130247,8.913090331640968
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,6,51,Ensemble probability-weighted,11668.966229304351,52087.85167849211,40418.88544918776,-40418.88544918776,0.2240247169595334
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,6,51,P90 envelope,733059.1323921548,0.0,733059.1323921548,733059.1323921548,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,6,51,Ensemble probability-weighted,21221.129300445908,0.0,21221.129300445908,21221.129300445908,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,6,51,Deterministic mean-track,91854.45005511858,91854.45005511858,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,6,51,P90 envelope,699156.1449044087,91854.45005511858,607301.6948492902,607301.6948492902,7.611565302332877
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,6,51,Ensemble probability-weighted,26745.597456886167,91854.45005511858,65108.852598232406,-65108.852598232406,0.29117367139901323
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,6,51,Deterministic mean-track,91854.45005511858,0.0,91854.45005511858,91854.45005511858,
