marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,24,51,Deterministic mean-track,52087.85167849211,0.0,52087.85167849211
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,24,51,P90 envelope,748385.3737076515,0.0,748385.3737076515
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 12:00:00,24,51,Ensemble probability-weighted,15438.019083067682,0.0,15438.019083067682
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,24,51,Deterministic mean-track,91854.45005511858,91854.45005511858,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,24,51,P90 envelope,944504.9047974423,91854.45005511858,852650.4547423237
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-27 18:00:00,24,51,Ensemble probability-weighted,19416.39281690467,91854.45005511858,72438.0572382139
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,24,51,P90 envelope,851575.4483036865,0.0,851575.4483036865
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 00:00:00,24,51,Ensemble probability-weighted,14114.881829335929,0.0,14114.881829335929
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,24,51,P90 envelope,991633.415645187,0.0,991633.415645187
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 06:00:00,24,51,Ensemble probability-weighted,20634.471948060156,0.0,20634.471948060156
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,24,51,P90 envelope,902592.4394979638,0.0,902592.4394979638
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 12:00:00,24,51,Ensemble probability-weighted,16779.82062127716,0.0,16779.82062127716
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,24,50,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,24,50,P90 envelope,1244106.6772832002,0.0,1244106.6772832002
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,24,50,Ensemble probability-weighted,13604.231989360422,0.0,13604.231989360422
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,24,51,P90 envelope,1089273.5778549577,0.0,1089273.5778549577
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,24,51,Ensemble probability-weighted,26012.21256689199,0.0,26012.21256689199
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,24,50,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,24,50,P90 envelope,1379952.381828533,0.0,1379952.381828533
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,24,50,Ensemble probability-weighted,22450.720641341708,0.0,22450.720641341708
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,24,51,Deterministic mean-track,147912.71822926152,0.0,147912.71822926152
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,24,51,P90 envelope,1204740.7894338262,0.0,1204740.7894338262
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,24,51,Ensemble probability-weighted,34746.189973930566,0.0,34746.189973930566
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,24,50,Deterministic mean-track,0.0,185281.82786990766,185281.82786990766
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,24,50,P90 envelope,1452037.9138142634,185281.82786990766,1266756.0859443557
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,24,50,Ensemble probability-weighted,41112.33212394675,185281.82786990766,144169.4957459609
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,24,50,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,24,50,P90 envelope,1206161.681738692,0.0,1206161.681738692
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,24,50,Ensemble probability-weighted,34187.38234282195,0.0,34187.38234282195
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,Deterministic mean-track,134074.00776922,329342.8424064365,195268.8346372165
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,P90 envelope,1315542.333345099,329342.8424064365,986199.4909386623
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,Ensemble probability-weighted,52945.083596881515,329342.8424064365,276397.758809555
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,Deterministic mean-track,0.0,329342.8424064365,329342.8424064365
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,P90 envelope,1253396.675338707,329342.8424064365,924053.8329322704
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,Ensemble probability-weighted,114883.97498637394,329342.8424064365,214458.86742006257
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,24,42,Deterministic mean-track,329342.8424064365,0.0,329342.8424064365
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,24,42,P90 envelope,1352258.1282790455,0.0,1352258.1282790455
