marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,6,51,Deterministic mean-track,596407.5226435204,0.0,596407.5226435204
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,6,51,P90 envelope,7529032.632272897,0.0,7529032.632272897
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,6,51,Ensemble probability-weighted,387066.4498008803,0.0,387066.4498008803
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,6,51,Deterministic mean-track,0.0,358713.77724457503,358713.77724457503
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,6,51,P90 envelope,7619640.841520053,358713.77724457503,7260927.064275478
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,6,51,Ensemble probability-weighted,59886.514650327794,358713.77724457503,298827.26259424724
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,6,51,Deterministic mean-track,0.0,358713.77724457503,358713.77724457503
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,6,51,P90 envelope,4688239.2467345735,358713.77724457503,4329525.469489998
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,6,51,Ensemble probability-weighted,109451.03370361535,358713.77724457503,249262.74354095967
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,6,51,P90 envelope,5374902.197647665,0.0,5374902.197647665
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,6,51,Ensemble probability-weighted,86868.77427767022,0.0,86868.77427767022
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,6,51,Deterministic mean-track,105791.64677767342,105791.64677767342,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,6,51,P90 envelope,4317469.07118329,105791.64677767342,4211677.424405617
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,6,51,Ensemble probability-weighted,68757.33721767418,105791.64677767342,37034.30955999924
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,6,51,Deterministic mean-track,105791.64677767342,0.0,105791.64677767342
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,6,51,P90 envelope,2290707.9973384547,0.0,2290707.9973384547
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,6,51,Ensemble probability-weighted,29544.389637515706,0.0,29544.389637515706
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,6,51,P90 envelope,1033044.1968454169,0.0,1033044.1968454169
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,6,51,Ensemble probability-weighted,23739.021873293685,0.0,23739.021873293685
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 06:00:00,6,51,P90 envelope,2759888.4250206826,0.0,2759888.4250206826
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 06:00:00,6,51,Ensemble probability-weighted,45169.453467956424,0.0,45169.453467956424
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 12:00:00,6,51,P90 envelope,330713.40212078224,0.0,330713.40212078224
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 12:00:00,6,51,Ensemble probability-weighted,149.28096990491824,0.0,149.28096990491824
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 18:00:00,6,51,P90 envelope,211.8674163818359,0.0,211.8674163818359
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 18:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 00:00:00,6,51,P90 envelope,211.8674163818359,0.0,211.8674163818359
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 00:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 06:00:00,6,51,P90 envelope,90372.25162857774,0.0,90372.25162857774
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 06:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,P90 envelope,90372.25162857774,0.0,90372.25162857774
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,P90 envelope,6725441.000823498,0.0,6725441.000823498
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,P90 envelope,6815813.2524520755,0.0,6815813.2524520755
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,P90 envelope,5469527.532447695,0.0,5469527.532447695
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,Ensemble probability-weighted,45186.12581428887,0.0,45186.12581428887
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,Deterministic mean-track,90372.25162857774,90372.25162857774,0.0
