marker,cyclone_id,forecast_time,horizon_h,estimator,realized_positive_regions,predicted_positive_regions,nonzero_union_regions,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_5,recall_at_10_overlap,recall_at_10_target,recall_at_5_overlap,recall_at_5_target,spearman
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,24,Deterministic mean-track,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,24,P90 envelope,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 12:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,24,Deterministic mean-track,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,24,P90 envelope,1,3,3,1.0,1.0,1.0,1.0,1,1,1,1,0.8660254037844387
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-27 18:00:00,24,Ensemble probability-weighted,1,2,2,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,24,P90 envelope,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 00:00:00,24,Ensemble probability-weighted,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,24,P90 envelope,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 06:00:00,24,Ensemble probability-weighted,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,24,P90 envelope,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 12:00:00,24,Ensemble probability-weighted,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,24,P90 envelope,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-28 18:00:00,24,Ensemble probability-weighted,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,24,P90 envelope,0,3,3,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-29 00:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
