marker,m_label,m_size,x_fraction,x_size,peak_memory_gb,mean_peak_memory_gb
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,0.0342559814453125,0.0339630126953125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,0.0315093994140625,0.0315093994140625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,0.03167724609375,0.0316680908203125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.75,2147,0.03192138671875,0.0314117431640625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,1.0,2863,0.0309906005859375,0.03098297119140625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.1,286,0.0310516357421875,0.03105010986328125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.25,716,0.0310516357421875,0.0310516357421875
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.5,1432,0.0310821533203125,0.0310699462890625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.75,2147,0.0310821533203125,0.0310821533203125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,1.0,2863,0.0310821533203125,0.03098602294921875
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.1,286,0.030853271484375,0.03078765869140625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.25,716,0.03076171875,0.03074951171875
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.5,1432,0.030792236328125,0.03076934814453125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.75,2147,0.0307159423828125,0.0307159423828125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,1.0,2863,0.030731201171875,0.03071746826171875
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.1,286,0.0309295654296875,0.03092803955078125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.25,716,0.03094482421875,0.030938720703125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.5,1432,0.0309600830078125,0.030950927734375
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.75,2147,0.0309600830078125,0.03092803955078125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,1.0,2863,0.030914306640625,0.03044891357421875
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.1,286,0.0300445556640625,0.03004150390625
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.25,716,0.03009033203125,0.0300811767578125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.5,1432,0.0301361083984375,0.030126953125
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.75,2147,0.0301361083984375,0.0301361083984375
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,1.0,2863,0.0301361083984375,0.02998046875
