marker,m_label,m_size,x_fraction,x_size,peak_memory_gb,mean_peak_memory_gb
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,0.0363616943359375,0.0363433837890625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,0.036468505859375,0.036468505859375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,0.036651611328125,0.03664398193359375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,0.03692626953125,0.03690185546875
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,1.0,2863,0.037261962890625,0.03724365234375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.1,286,0.0373077392578125,0.03729705810546875
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.25,716,0.0373077392578125,0.0373077392578125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.5,1432,0.037322998046875,0.03731231689453125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.75,2147,0.0373382568359375,0.03733673095703125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,1.0,2863,0.0373382568359375,0.0373382568359375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.1,286,0.03741455078125,0.03741455078125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.25,716,0.03741455078125,0.03741455078125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.5,1432,0.03741455078125,0.03741455078125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.75,2147,0.03741455078125,0.03741455078125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,1.0,2863,0.0374298095703125,0.03741607666015625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.1,286,0.0376129150390625,0.0376129150390625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.25,716,0.0376129150390625,0.0376129150390625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.5,1432,0.0376129150390625,0.03302154541015625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.75,2147,0.03106689453125,0.030902099609375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,1.0,2863,0.030792236328125,0.0307830810546875
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.1,286,0.03106689453125,0.03105926513671875
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.25,716,0.03106689453125,0.03106689453125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.5,1432,0.0310821533203125,0.03106842041015625
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.75,2147,0.0310821533203125,0.0310821533203125
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,1.0,2863,0.0311126708984375,0.031097412109375
