marker,m_label,m_size,x_fraction,x_size,mean_runtime_s,median_runtime_s,runtime_std_s
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,0.000267750000671141,0.0002670278238255028,3.1760464801831643e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,0.0003742230144295302,0.0003739254060402687,1.6759291621174153e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,0.000522688870134228,0.0005203566124161055,5.855082888298389e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.75,2147,0.0006691403241610736,0.0006614435805369136,2.3260828035990737e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,1.0,2863,0.0008241840741610746,0.000818685753355704,2.4450488304747174e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.1,286,0.00041539422516778565,0.00041465352348993344,2.6285860128875184e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.25,716,0.0005914321865771812,0.0005913132684563769,1.6755333552300868e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.5,1432,0.0008367683859060403,0.0008287380453020146,2.2564004641363753e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.75,2147,0.0010588216583892597,0.001058827390939601,2.1553022760852273e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,1.0,2863,0.0012867503489932875,0.0012832975385905984,9.466857618631878e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.1,286,0.0007129496506711391,0.0007072293070469819,1.7112226582377638e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.25,716,0.0010278961966442952,0.0010257825067114083,4.731602296273681e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.5,1432,0.0014621553000000007,0.001453027476510066,2.747571596608603e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.75,2147,0.001852289304026851,0.0018481563187919556,9.645035353245083e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,1.0,2863,0.0022541904932885893,0.0022523262030201344,8.869811203239872e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.1,286,0.001300566946308725,0.0012966241610738228,1.5470975713443837e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.25,716,0.0018758766083892633,0.0018761596761744952,9.231176803465138e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.5,1432,0.0026770217697986614,0.00267305627684564,1.0029971172706833e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.75,2147,0.003453970512080542,0.003435511884228191,7.405656388379374e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,1.0,2863,0.00418643723456376,0.004185294953020141,2.8674686933919463e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.1,286,0.0016187279083892641,0.0016166511459731474,6.797290301911283e-06
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.25,716,0.0023503819909396068,0.0023453697567114113,1.4858638188897196e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.5,1432,0.0033590504892617445,0.0033488392046980217,2.5618384166797255e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.75,2147,0.004294618415100667,0.004292703508389258,1.6184975917388124e-05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,1.0,2863,0.0052431928557047005,0.00523949000335568,2.0482249214515975e-05
