marker,m_label,m_size,x_fraction,x_size,mean_throughput_items_per_s,median_throughput_items_per_s
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,5341473.465864245,5355253.086518118
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,9566660.11868929,9574102.740798965
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,13699922.998211717,13759798.192193624
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.75,2147,16059059.801227933,16229671.719164368
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,1.0,2863,17382210.903415542,17485353.530393295
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.1,286,6885273.28743867,6897327.535623984
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.25,716,12106293.362211153,12108641.67403619
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.5,1432,17123985.950227357,17279296.232979167
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.75,2147,20277333.645628832,20277149.905208275
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,1.0,2863,22250925.11871136,22309714.088997584
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.1,286,8026933.219878485,8087902.5423542615
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.25,716,13931631.928646903,13960076.349879049
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.5,1432,19593514.56924457,19710728.867245838
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.75,2147,23182687.571000457,23233965.669109546
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,1.0,2863,25401932.67704004,25422613.579196982
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.1,286,8797257.055084808,8822922.906586178
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.25,716,15267859.587788556,15265226.0408073
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.5,1432,21397181.48566326,21428655.389842585
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.75,2147,24873941.32944607,24997821.34489939
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,1.0,2863,27356142.85579879,27362477.009836093
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.1,286,9010921.02426333,9022354.716463422
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.25,716,15536753.12827822,15569400.258652013
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.5,1432,21742982.800189506,21808154.737006553
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.75,2147,25496652.684215713,25507704.866236877
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,1.0,2863,27848488.754104365,27867788.64151527
