marker,m_label,m_size,x_fraction,x_size,mean_throughput_items_per_s,median_throughput_items_per_s
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,5556271.107081626,5608172.182570162
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,9827046.048346426,9825546.213729456
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,14119481.85570406,14122319.361090302
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,16548191.936480442,16670058.766187496
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,1.0,2863,18191606.9801358,18242876.186172217
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.1,286,7154288.897589071,7156599.430301815
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.25,716,12367532.7362541,12469856.35414699
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.5,1432,17502232.168884657,17721022.047758818
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.75,2147,20543862.452766303,20707121.630731277
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,1.0,2863,22765576.881881714,22817840.94332941
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.1,286,8281431.827938375,8318732.891967612
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.25,716,14391479.75060026,14385209.450332008
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.5,1432,20187247.21801461,20291754.3137989
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.75,2147,23662967.351761583,23813035.7708409
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,1.0,2863,25757774.610260528,25978595.177275375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.1,286,9049324.899648305,9077847.163156658
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.25,716,15637435.363324452,15694020.925255135
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.5,1432,21871937.389398087,21942502.76939875
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.75,2147,25599059.710605685,25672790.69967179
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,1.0,2863,27896270.248186015,28001197.7273015
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.1,286,9247954.140277587,9272071.68754816
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.25,716,15941510.01642957,15985780.122273501
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.5,1432,22295517.36925864,22338095.505594976
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.75,2147,26051456.41906906,26142317.57800653
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,1.0,2863,28348669.648375355,28504853.338508278
