cyclone_id,sid,forecast_time,horizon_h,valid_time,observation_time,temporal_mismatch_h,observed_lat,observed_lon,member_count
DITWAH,2025331N06083,2025-11-27 12:00:00,6,2025-11-27 18:00:00,2025-11-27 18:00:00,0.0,7.9,81.3,51
DITWAH,2025331N06083,2025-11-27 18:00:00,6,2025-11-28 00:00:00,2025-11-28 00:00:00,0.0,8.1,81.1,51
DITWAH,2025331N06083,2025-11-28 00:00:00,6,2025-11-28 06:00:00,2025-11-28 06:00:00,0.0,8.3,81.0,51
DITWAH,2025331N06083,2025-11-28 06:00:00,6,2025-11-28 12:00:00,2025-11-28 12:00:00,0.0,8.6,80.9,51
DITWAH,2025331N06083,2025-11-28 12:00:00,6,2025-11-28 18:00:00,2025-11-28 18:00:00,0.0,9.0,80.8,51
DITWAH,2025331N06083,2025-11-28 18:00:00,6,2025-11-29 00:00:00,2025-11-29 00:00:00,0.0,9.4,80.8,51
DITWAH,2025331N06083,2025-11-29 00:00:00,6,2025-11-29 06:00:00,2025-11-29 06:00:00,0.0,9.9,80.8,51
DITWAH,2025331N06083,2025-11-29 06:00:00,6,2025-11-29 12:00:00,2025-11-29 12:00:00,0.0,10.3,80.7,51
DITWAH,2025331N06083,2025-11-29 12:00:00,6,2025-11-29 18:00:00,2025-11-29 18:00:00,0.0,10.6,80.7,51
DITWAH,2025331N06083,2025-11-29 18:00:00,6,2025-11-30 00:00:00,2025-11-30 00:00:00,0.0,11.0,80.7,51
DITWAH,2025331N06083,2025-11-30 00:00:00,6,2025-11-30 06:00:00,2025-11-30 06:00:00,0.0,11.4,80.7,51
DITWAH,2025331N06083,2025-11-30 06:00:00,6,2025-11-30 12:00:00,2025-11-30 12:00:00,0.0,11.7,80.8,51
DITWAH,2025331N06083,2025-11-30 12:00:00,6,2025-11-30 18:00:00,2025-11-30 18:00:00,0.0,12.0,81.2,49
DITWAH,2025331N06083,2025-11-30 18:00:00,6,2025-12-01 00:00:00,2025-12-01 00:00:00,0.0,12.6,81.2,46
DITWAH,2025331N06083,2025-12-01 00:00:00,6,2025-12-01 06:00:00,2025-12-01 06:00:00,0.0,12.9,80.9,31
DITWAH,2025331N06083,2025-12-01 06:00:00,6,2025-12-01 12:00:00,2025-12-01 12:00:00,0.0,12.9,80.9,24
DITWAH,2025331N06083,2025-12-01 12:00:00,6,2025-12-01 18:00:00,2025-12-01 18:00:00,0.0,12.7,80.7,9
DITWAH,2025331N06083,2025-12-01 18:00:00,6,2025-12-02 00:00:00,2025-12-02 00:00:00,0.0,12.6,80.6,8
DITWAH,2025331N06083,2025-12-02 00:00:00,6,2025-12-02 06:00:00,2025-12-02 06:00:00,0.0,12.4,80.7,1
DITWAH,2025331N06083,2025-12-02 06:00:00,6,2025-12-02 12:00:00,2025-12-02 12:00:00,0.0,12.3,80.4,2
DITWAH,2025331N06083,2025-12-02 12:00:00,6,2025-12-02 18:00:00,2025-12-02 18:00:00,0.0,12.1,80.2,11
DUDZAI,2026011S14076,2026-01-15 06:00:00,6,2026-01-15 12:00:00,2026-01-15 12:00:00,0.0,-17.1,73.6,51
FINA,2025322S10131,2025-11-18 18:00:00,6,2025-11-19 00:00:00,2025-11-19 00:00:00,0.0,-9.5,132.4,51
FINA,2025322S10131,2025-11-19 00:00:00,6,2025-11-19 06:00:00,2025-11-19 06:00:00,0.0,-9.7,132.6,51
FINA,2025322S10131,2025-11-19 06:00:00,6,2025-11-19 12:00:00,2025-11-19 12:00:00,0.0,-9.5,132.6,51
FINA,2025322S10131,2025-11-19 12:00:00,6,2025-11-19 18:00:00,2025-11-19 18:00:00,0.0,-9.5,133.0,51
FINA,2025322S10131,2025-11-19 18:00:00,6,2025-11-20 00:00:00,2025-11-20 00:00:00,0.0,-9.8,133.2,51
FINA,2025322S10131,2025-11-20 00:00:00,6,2025-11-20 06:00:00,2025-11-20 06:00:00,0.0,-10.0,133.3,51
FINA,2025322S10131,2025-11-20 06:00:00,6,2025-11-20 12:00:00,2025-11-20 12:00:00,0.0,-10.1,133.3,51
FINA,2025322S10131,2025-11-20 12:00:00,6,2025-11-20 18:00:00,2025-11-20 18:00:00,0.0,-10.4,133.0,51
FINA,2025322S10131,2025-11-20 18:00:00,6,2025-11-21 00:00:00,2025-11-21 00:00:00,0.0,-10.3,132.5,51
FINA,2025322S10131,2025-11-21 00:00:00,6,2025-11-21 06:00:00,2025-11-21 06:00:00,0.0,-10.7,132.4,51
FINA,2025322S10131,2025-11-21 06:00:00,6,2025-11-21 12:00:00,2025-11-21 12:00:00,0.0,-11.1,132.2,51
FINA,2025322S10131,2025-11-21 12:00:00,6,2025-11-21 18:00:00,2025-11-21 18:00:00,0.0,-11.7,131.8,51
FINA,2025322S10131,2025-11-21 18:00:00,6,2025-11-22 00:00:00,2025-11-22 00:00:00,0.0,-11.8,131.4,51
FINA,2025322S10131,2025-11-22 00:00:00,6,2025-11-22 06:00:00,2025-11-22 06:00:00,0.0,-11.9,131.0,51
FINA,2025322S10131,2025-11-22 06:00:00,6,2025-11-22 12:00:00,2025-11-22 12:00:00,0.0,-12.1,130.6,51
FINA,2025322S10131,2025-11-22 12:00:00,6,2025-11-22 18:00:00,2025-11-22 18:00:00,0.0,-12.4,129.8,51
FINA,2025322S10131,2025-11-22 18:00:00,6,2025-11-23 00:00:00,2025-11-23 00:00:00,0.0,-12.8,129.7,51
FINA,2025322S10131,2025-11-23 00:00:00,6,2025-11-23 06:00:00,2025-11-23 06:00:00,0.0,-13.2,129.3,51
FINA,2025322S10131,2025-11-23 06:00:00,6,2025-11-23 12:00:00,2025-11-23 12:00:00,0.0,-13.6,128.9,51
FINA,2025322S10131,2025-11-23 12:00:00,6,2025-11-23 18:00:00,2025-11-23 18:00:00,0.0,-13.9,128.5,51
FINA,2025322S10131,2025-11-23 18:00:00,6,2025-11-24 00:00:00,2025-11-24 00:00:00,0.0,-14.1,128.2,51
FINA,2025322S10131,2025-11-24 00:00:00,6,2025-11-24 06:00:00,2025-11-24 06:00:00,0.0,-14.3,128.0,51
FINA,2025322S10131,2025-11-24 06:00:00,6,2025-11-24 12:00:00,2025-11-24 12:00:00,0.0,-14.4,127.9,51
