cyclone_id,forecast_time,horizon_h,proxy_realized_population,proxy_realized_cells,proxy_nonzero_union_regions
DITWAH,2025-11-27 12:00:00,6,0.0,0,2
DITWAH,2025-11-27 18:00:00,6,104175.70335698422,1,2
DITWAH,2025-11-28 00:00:00,6,104175.70335698422,1,1
DITWAH,2025-11-28 06:00:00,6,0.0,0,2
DITWAH,2025-11-28 12:00:00,6,183708.90011023715,1,2
DITWAH,2025-11-28 18:00:00,6,0.0,0,2
DITWAH,2025-11-29 00:00:00,6,0.0,0,1
DITWAH,2025-11-29 06:00:00,6,0.0,0,2
DITWAH,2025-11-29 12:00:00,6,0.0,0,2
DITWAH,2025-11-29 18:00:00,6,0.0,0,1
DITWAH,2025-11-30 00:00:00,6,0.0,0,1
DITWAH,2025-11-30 06:00:00,6,0.0,0,1
DITWAH,2025-11-30 12:00:00,6,370563.6557398153,1,1
DITWAH,2025-11-30 18:00:00,6,0.0,0,1
DITWAH,2025-12-01 00:00:00,6,658685.684812873,1,1
DITWAH,2025-12-01 06:00:00,6,658685.684812873,1,1
DITWAH,2025-12-01 12:00:00,6,0.0,0,1
DITWAH,2025-12-01 18:00:00,6,0.0,0,1
DITWAH,2025-12-02 00:00:00,6,0.0,0,0
DITWAH,2025-12-02 06:00:00,6,0.0,0,1
DITWAH,2025-12-02 12:00:00,6,295825.43645852304,1,1
DUDZAI,2026-01-15 06:00:00,6,36925.103647506476,1,1
FINA,2025-11-18 18:00:00,6,0.0,0,2
FINA,2025-11-19 00:00:00,6,694142.4476658303,1,1
FINA,2025-11-19 06:00:00,6,0.0,0,1
FINA,2025-11-19 12:00:00,6,0.0,0,1
FINA,2025-11-19 18:00:00,6,0.0,0,1
FINA,2025-11-20 00:00:00,6,0.0,0,2
FINA,2025-11-20 06:00:00,6,0.0,0,2
FINA,2025-11-20 12:00:00,6,0.0,0,2
FINA,2025-11-20 18:00:00,6,0.0,0,2
FINA,2025-11-21 00:00:00,6,0.0,0,1
FINA,2025-11-21 06:00:00,6,0.0,0,1
FINA,2025-11-21 12:00:00,6,0.0,0,1
FINA,2025-11-21 18:00:00,6,0.0,0,1
FINA,2025-11-22 00:00:00,6,0.0,0,1
FINA,2025-11-22 06:00:00,6,317813.3112432561,1,1
FINA,2025-11-22 12:00:00,6,0.0,0,2
FINA,2025-11-22 18:00:00,6,625669.3885785826,1,2
FINA,2025-11-23 00:00:00,6,0.0,0,1
FINA,2025-11-23 06:00:00,6,532306.2629807153,1,1
FINA,2025-11-23 12:00:00,6,0.0,0,1
FINA,2025-11-23 18:00:00,6,741039.099168991,1,1
FINA,2025-11-24 00:00:00,6,0.0,0,1
FINA,2025-11-24 06:00:00,6,0.0,0,1
FINA,2025-11-24 12:00:00,6,0.0,0,1
FINA,2025-11-24 18:00:00,6,233107.90822515902,1,1
FINA,2025-11-25 00:00:00,6,0.0,0,1
FUNG-WONG,2025-11-05 18:00:00,6,0.0,0,3
FUNG-WONG,2025-11-06 00:00:00,6,47727.45073149697,1,4
FUNG-WONG,2025-11-06 06:00:00,6,27981.827176335697,1,4
FUNG-WONG,2025-11-06 12:00:00,6,0.0,0,2
FUNG-WONG,2025-11-06 18:00:00,6,44604.74057836412,1,2
FUNG-WONG,2025-11-07 00:00:00,6,0.0,0,1
FUNG-WONG,2025-11-07 06:00:00,6,0.0,0,1
FUNG-WONG,2025-11-07 12:00:00,6,0.0,0,1
FUNG-WONG,2025-11-07 18:00:00,6,0.0,0,1
FUNG-WONG,2025-11-08 00:00:00,6,52461.55063205064,1,2
FUNG-WONG,2025-11-08 06:00:00,6,49298.97195099949,1,1
FUNG-WONG,2025-11-08 12:00:00,6,0.0,0,1
FUNG-WONG,2025-11-08 18:00:00,6,0.0,0,1
FUNG-WONG,2025-11-09 00:00:00,6,0.0,0,1
FUNG-WONG,2025-11-09 06:00:00,6,0.0,0,1
FUNG-WONG,2025-11-09 12:00:00,6,210118.48756744238,1,1
FUNG-WONG,2025-11-09 18:00:00,6,221574.29395600903,1,2
FUNG-WONG,2025-11-10 00:00:00,6,0.0,0,2
FUNG-WONG,2025-11-10 06:00:00,6,0.0,0,1
FUNG-WONG,2025-11-10 12:00:00,6,0.0,0,1
FUNG-WONG,2025-11-10 18:00:00,6,202526.03726431922,1,1
FUNG-WONG,2025-11-11 00:00:00,6,256397.31703839597,1,2
FUNG-WONG,2025-11-11 06:00:00,6,0.0,0,1
FUNG-WONG,2025-11-11 12:00:00,6,0.0,0,1
FUNG-WONG,2025-11-11 18:00:00,6,0.0,0,2
FUNG-WONG,2025-11-12 00:00:00,6,187453.04667240402,1,2
FUNG-WONG,2025-11-12 06:00:00,6,0.0,0,1
FUNG-WONG,2025-11-12 12:00:00,6,0.0,0,1
FUNG-WONG,2025-11-12 18:00:00,6,54052.31326246519,1,1
FUNG-WONG,2025-11-13 00:00:00,6,0.0,0,1
FUNG-WONG,2025-11-13 06:00:00,6,0.0,0,1
GEZANI,2026-02-10 00:00:00,6,33908.559237873924,1,1
GEZANI,2026-02-10 06:00:00,6,100710.79171718772,1,2
GEZANI,2026-02-10 12:00:00,6,0.0,0,1
GEZANI,2026-02-10 18:00:00,6,0.0,0,1
GEZANI,2026-02-11 00:00:00,6,0.0,0,1
GEZANI,2026-02-11 06:00:00,6,0.0,0,1
GEZANI,2026-02-11 12:00:00,6,0.0,0,1
GEZANI,2026-02-11 18:00:00,6,0.0,0,1
GEZANI,2026-02-12 00:00:00,6,0.0,0,2
GEZANI,2026-02-12 06:00:00,6,0.0,0,3
GEZANI,2026-02-12 12:00:00,6,97261.36204734341,1,1
GEZANI,2026-02-12 18:00:00,6,0.0,0,1
GEZANI,2026-02-13 00:00:00,6,0.0,0,1
GEZANI,2026-02-13 06:00:00,6,0.0,0,1
GEZANI,2026-02-13 12:00:00,6,252495.82161600492,1,1
GEZANI,2026-02-13 18:00:00,6,0.0,0,1
KALMAEGI,2025-11-01 12:00:00,6,0.0,0,1
KALMAEGI,2025-11-01 18:00:00,6,0.0,0,1
KALMAEGI,2025-11-02 00:00:00,6,60475.39461501294,1,1
KALMAEGI,2025-11-02 12:00:00,6,0.0,0,2
KALMAEGI,2025-11-02 18:00:00,6,49298.97195099949,1,2
KALMAEGI,2025-11-03 00:00:00,6,75247.80434429804,1,2
KALMAEGI,2025-11-03 06:00:00,6,66988.85020236233,1,2
KALMAEGI,2025-11-03 12:00:00,6,0.0,0,1
KALMAEGI,2025-11-03 18:00:00,6,88708.2322676028,1,2
KALMAEGI,2025-11-04 00:00:00,6,0.0,0,1
KALMAEGI,2025-11-04 06:00:00,6,0.0,0,1
KALMAEGI,2025-11-04 12:00:00,6,0.0,0,1
KALMAEGI,2025-11-04 18:00:00,6,0.0,0,2
KALMAEGI,2025-11-05 00:00:00,6,0.0,0,1
KALMAEGI,2025-11-05 06:00:00,6,0.0,0,1
