representation,horizon_h,nominal_level,empirical_coverage,coverage_ci95_low,coverage_ci95_high,absolute_calibration_error,mean_area_km2,median_area_km2,verifying_cases
Fixed-radius region,6,,0.4246575342465753,0.3257865937072504,0.5068493150684932,,1963.4928890086883,1963.4928890086885,219
Fixed-radius region,12,,0.2897196261682243,0.2028968416735029,0.358974358974359,,1963.4928890086885,1963.4928890086885,214
Fixed-radius region,24,,0.19900497512437812,0.14358910891089108,0.25405405405405407,,1963.4928890086887,1963.4928890086885,201
Fixed-radius region,48,,0.11904761904761904,0.04716703662597115,0.19565597446032224,,1963.4928890086885,1963.4928890086885,168
Fixed-radius region,72,,0.045112781954887216,0.0,0.11585586779780839,,1963.4928890086885,1963.4928890086885,133
Fixed-radius region,96,,0.02,0.0,0.04716981132075472,,1963.4928890086885,1963.4928890086885,100
P50 percentile cone,6,0.5,0.9041095890410958,0.8360634053257004,0.9475806451612904,0.40410958904109584,15279.321634632195,12176.88108503919,219
P50 percentile cone,12,0.5,0.9018691588785047,0.8249890350877193,0.9510204081632653,0.4018691588785047,17753.023084405817,14220.8796188973,214
P50 percentile cone,24,0.5,0.8507462686567164,0.7523748473748474,0.9148957705228702,0.35074626865671643,25198.932515665132,20664.910355799475,201
P50 percentile cone,48,0.5,0.8214285714285714,0.6928571428571428,0.9115646258503401,0.3214285714285714,50353.494880693135,44415.61478499011,168
P50 percentile cone,72,0.5,0.7218045112781954,0.5555555555555556,0.8713519440493124,0.22180451127819545,98345.25192191586,80822.979818741,133
P50 percentile cone,96,0.5,0.62,0.4343401116427432,0.8089887640449438,0.12,176425.480432653,143327.52872967918,100
P90 percentile cone,6,0.9,0.958904109589041,0.9197860962566845,0.9877563464410154,0.05890410958904102,42446.23216573422,31402.6506087232,219
P90 percentile cone,12,0.9,0.9672897196261683,0.9371428571428572,0.9896373056994818,0.06728971962616825,47890.311958108134,35321.48094219361,214
P90 percentile cone,24,0.9,0.9751243781094527,0.9461526946107784,0.9951690821256038,0.07512437810945272,75747.0243765416,59641.88741219758,201
P90 percentile cone,48,0.9,0.9821428571428571,0.9523809523809523,1.0,0.08214285714285707,158047.33066762256,139859.41175134692,168
P90 percentile cone,72,0.9,0.9699248120300752,0.9245283018867925,1.0,0.06992481203007517,335710.0852799063,283801.1741219503,133
P90 percentile cone,96,0.9,0.96,0.9262295081967213,1.0,0.05999999999999994,695106.5241391106,539933.038233003,100
P50 covariance ellipse,6,0.5,0.7405660377358491,0.6230309084228898,0.8428600944510035,0.24056603773584906,7420.737257758069,4846.753840984586,212
P50 covariance ellipse,12,0.5,0.6857142857142857,0.5826754536117768,0.7598464566929133,0.18571428571428572,8675.77084122305,6347.509542216059,210
P50 covariance ellipse,24,0.5,0.68,0.540535091543156,0.7665198237885462,0.18000000000000005,13400.342444454687,10369.965852774592,200
P50 covariance ellipse,48,0.5,0.6646706586826348,0.5350250349126333,0.7647121669180491,0.16467065868263475,31135.680459672112,27493.311854008647,167
P50 covariance ellipse,72,0.5,0.6692307692307692,0.5038167938931297,0.8500085034013604,0.16923076923076918,63436.75378225198,57603.716046023,130
P50 covariance ellipse,96,0.5,0.64,0.47058823529411764,0.8604651162790697,0.14,118042.77709696715,99956.4294915797,100
P90 covariance ellipse,6,0.9,0.9245283018867925,0.8529366654637315,0.9693888690847517,0.024528301886792447,24651.155581323932,16100.567753369927,212
P90 covariance ellipse,12,0.9,0.9285714285714286,0.8650781478235466,0.967442805823407,0.02857142857142858,28820.286902263404,21085.970280853144,210
P90 covariance ellipse,24,0.9,0.94,0.9008264462809917,0.9714285714285714,0.039999999999999925,44514.97404734561,34448.2809093545,200
P90 covariance ellipse,48,0.9,0.9880239520958084,0.9635036496350365,1.0,0.08802395209580838,103430.49167242022,91330.80506933107,167
P90 covariance ellipse,72,0.9,0.9538461538461539,0.88,1.0,0.05384615384615388,210732.334637715,191355.40270319773,130
P90 covariance ellipse,96,0.9,0.94,0.8907563025210085,1.0,0.039999999999999925,392129.6176369416,332048.0713927063,100
