marker,estimator,horizon_h,brier_score,verifying_cases
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,6,0.002194068092350606,219
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,12,0.002690849712451321,214
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,24,0.0024750248758974563,201
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,48,0.0025698985288496864,168
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,72,0.0026525856761223853,133
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,96,0.0026667569988842715,100
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,6,0.052310233088795864,219
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,12,0.057435435956568644,214
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,24,0.07628013781757975,201
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,48,0.13864979020990673,168
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,72,0.24048787320401357,133
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,96,0.38722985731061704,100
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,6,0.0015627072984142553,219
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,12,0.0015357472338676616,214
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,24,0.0012639454202850208,201
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,48,0.001191192059345036,168
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,72,0.0012846500373307963,133
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,96,0.0014066379837797472,100
