marker,estimator,horizon_h,mean_absolute_error,ci95_low,ci95_high,verifying_cases,cyclones
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,6,18472.924931781537,5644.036916671864,36261.66270710022,219,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,12,25001.466788384092,6264.272981572256,51535.425695603255,214,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,24,38650.933970863916,11329.680097879707,89390.54195389689,201,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,48,54499.389477687,16148.964072629768,116840.46896133601,168,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,72,61506.30368263412,9328.100964672194,168116.89806246068,133,11
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,96,14143.867388023797,2742.295893523513,30755.35087491239,100,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,6,919870.6037082428,287796.48840442894,1915604.5779645897,219,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,12,1091270.4971753203,399537.75819976797,2134440.8730916097,214,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,24,1950951.9253139396,781057.7018926125,3906800.7831336726,201,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,48,3512657.496459629,1054773.839463368,7539209.547874829,168,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,72,5814748.893753682,1973176.8027651624,12409655.310600381,133,11
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,96,8691406.459601464,3488472.5332776792,18344666.26891921,100,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,6,25575.72251011637,10089.822957950953,48192.754041531334,219,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,12,25742.858054771434,11216.224374254232,47584.37300567084,214,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,24,45893.89595792003,15314.860223341218,94175.03466308599,201,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,48,43208.85156354928,14496.007396955018,87703.45922826392,168,13
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,72,29850.227362370337,9123.699983846729,64474.887029334954,133,11
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,96,28580.583238192266,11504.62236088893,57547.24914809743,100,10
