marker,comparison,horizon_h,mean_cycle_level_difference,mean_storm_level_difference,paired_cyclones,wilcoxon_raw_p,holm_adjusted_p,significant_after_holm_0_05
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,6,-7102.797578334832,-12271.317022103558,13,0.24112136827741837,1.0,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,12,-741.3912663873373,-589.4471925037404,13,0.7670968684102772,1.0,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,24,-7242.961987056116,10512.379021668019,13,0.3739447986092539,1.0,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,48,11290.53791413772,37904.295655947,13,0.7221076526150257,1.0,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,72,31656.076320263783,33683.84572867776,11,0.6744240722352938,1.0,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,det - ens,96,-14436.715850168472,-18806.110511842307,10,0.09289194088370531,0.5573516453022318,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,6,894294.8811981265,1146916.1445014654,13,0.005062032126267864,0.050620321262678646,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,12,1065527.6391205487,1535383.599806237,13,0.005062032126267864,0.050620321262678646,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,24,1905058.0293560193,2374930.2473132275,13,0.003345618115850882,0.040147417390210584,True
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,48,3469448.6448960803,4704424.915069186,13,0.003345618115850882,0.040147417390210584,True
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,72,5784898.666391313,7849321.621178088,11,0.005062032126267864,0.050620321262678646,False
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 - ens,96,8662825.876363272,11895387.478207728,10,0.007685794055213263,0.05380055838649284,False
