marker,metric,metric_key,estimator,horizon_h,storm_level_mean,ci95_low,ci95_high,contributing_storms,contributing_cases
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Deterministic mean-track,24,0.24191919191919195,0.1212121212121212,0.3616161616161616,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Deterministic mean-track,48,0.22568181818181818,0.09083333333333334,0.3748484848484848,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Deterministic mean-track,72,0.39285714285714285,0.1142857142857143,0.6928571428571428,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,P90 envelope,24,0.96272017712843,0.8956164959596041,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,P90 envelope,48,0.9328046817004884,0.8223197315178593,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,P90 envelope,72,0.9455182017176913,0.8822490166156555,0.9947275679081636,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Ensemble probability-weighted,24,0.9858336673088034,0.9649569665007243,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Ensemble probability-weighted,48,0.8884542777269825,0.7338408996466257,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@10,ndcg_at_10,Ensemble probability-weighted,72,0.9455182017176913,0.8822490166156555,0.9947275679081636,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Deterministic mean-track,24,0.24191919191919195,0.12070707070707072,0.36363636363636365,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Deterministic mean-track,48,0.22568181818181818,0.09271022727272729,0.3723484848484849,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Deterministic mean-track,72,0.39285714285714285,0.1142857142857143,0.6857142857142857,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,P90 envelope,24,0.96272017712843,0.8956164959596041,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,P90 envelope,48,0.9328046817004884,0.829449497642047,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,P90 envelope,72,0.9455182017176913,0.8822490166156555,0.9947275679081636,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Ensemble probability-weighted,24,0.9858336673088034,0.9649569665007243,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Ensemble probability-weighted,48,0.8884542777269825,0.7361353116146786,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,nDCG@5,ndcg_at_5,Ensemble probability-weighted,72,0.9455182017176913,0.8822490166156555,0.9947275679081636,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Deterministic mean-track,24,0.24191919191919195,0.11867424242424243,0.36415404040404026,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Deterministic mean-track,48,0.22568181818181818,0.09083333333333334,0.3733465909090907,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Deterministic mean-track,72,0.39285714285714285,0.12142857142857143,0.7,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,P90 envelope,24,1.0,1.0,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,P90 envelope,48,0.95,0.85,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,P90 envelope,72,1.0,1.0,1.0,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Ensemble probability-weighted,24,1.0,1.0,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Ensemble probability-weighted,48,0.95,0.85,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@10,recall_at_10,Ensemble probability-weighted,72,1.0,1.0,1.0,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Deterministic mean-track,24,0.24191919191919195,0.11919191919191921,0.36161616161616156,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Deterministic mean-track,48,0.22568181818181818,0.09271022727272729,0.3741761363636362,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Deterministic mean-track,72,0.39285714285714285,0.1142857142857143,0.6928571428571428,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,P90 envelope,24,1.0,1.0,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,P90 envelope,48,0.95,0.85,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,P90 envelope,72,1.0,1.0,1.0,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Ensemble probability-weighted,24,1.0,1.0,1.0,11,49
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Ensemble probability-weighted,48,0.95,0.85,1.0,10,40
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Recall@5,recall_at_5,Ensemble probability-weighted,72,1.0,1.0,1.0,7,34
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Deterministic mean-track,24,nan,nan,nan,0,0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Deterministic mean-track,48,nan,nan,nan,0,0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Deterministic mean-track,72,nan,nan,nan,0,0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,P90 envelope,24,0.820311036512961,0.7745966692414834,0.8660254037844387,3,4
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,P90 envelope,48,0.835549158936787,0.7745966692414834,0.8660254037844387,3,3
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,P90 envelope,72,0.6148464999353557,0.20391742678014493,0.8660254037844387,3,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Ensemble probability-weighted,24,0.8660254037844387,0.8660254037844387,0.8660254037844387,2,3
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Ensemble probability-weighted,48,0.04571436727147765,-0.7745966692414834,0.8660254037844387,2,2
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Spearman,spearman,Ensemble probability-weighted,72,0.8660254037844387,0.8660254037844387,0.8660254037844387,2,2
