marker,metric,metric_key,estimator,horizon_h,storm_level_mean,ci95_low,ci95_high,contributing_storms,contributing_cases
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Deterministic mean-track,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Deterministic mean-track,48,0.15476190476190474,0.03571428571428571,0.3095238095238095,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Deterministic mean-track,72,0.0,0.0,0.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,P90 envelope,24,1.0,1.0,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,P90 envelope,48,0.7862790241496626,0.5005647384353769,0.9648504527210912,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,P90 envelope,72,0.8343216255952429,0.6686432511904858,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Ensemble probability-weighted,24,0.9583333333333333,0.875,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Ensemble probability-weighted,48,0.8307806966836756,0.5450664109693898,1.0,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@10,ndcg_at_10,Ensemble probability-weighted,72,0.8759882922619096,0.7519765845238191,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Deterministic mean-track,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Deterministic mean-track,48,0.15476190476190474,0.03571428571428571,0.3095238095238095,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Deterministic mean-track,72,0.0,0.0,0.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,P90 envelope,24,1.0,1.0,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,P90 envelope,48,0.7862790241496626,0.5005647384353769,0.9648504527210912,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,P90 envelope,72,0.8343216255952429,0.6686432511904858,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Ensemble probability-weighted,24,0.9583333333333333,0.875,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Ensemble probability-weighted,48,0.8307806966836756,0.5450664109693898,1.0,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,nDCG@5,ndcg_at_5,Ensemble probability-weighted,72,0.8759882922619096,0.7519765845238191,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Deterministic mean-track,24,0.16666666666666666,0.041666666666666664,0.3125,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Deterministic mean-track,48,0.15476190476190474,0.03571428571428571,0.3095238095238095,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Deterministic mean-track,72,0.0,0.0,0.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,P90 envelope,24,1.0,1.0,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,P90 envelope,48,0.8571428571428571,0.5714285714285714,1.0,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,P90 envelope,72,1.0,1.0,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Ensemble probability-weighted,24,0.9583333333333333,0.875,1.0,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Ensemble probability-weighted,48,0.8571428571428571,0.5714285714285714,1.0,7,14
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@10,recall_at_10,Ensemble probability-weighted,72,1.0,1.0,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@5,recall_at_5,Deterministic mean-track,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,8,18
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@5,recall_at_5,Deterministic mean-track,48,0.15476190476190474,0.03571428571428571,0.3095238095238095,7,14
