storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL012010,LSTM,20,9358.0,9052.4,9520.5,8870.0
AL012010,Transformer,20,10552.7,10229.2,10729.8,10809.7
AL012010,GNO+DynGNN,20,9086.3,9269.8,8253.0,9655.1
AL022010,LSTM,1,9938.6,9665.6,9998.5,9559.8
AL022010,Transformer,1,10936.1,10699.5,11426.4,11473.7
AL022010,GNO+DynGNN,1,9669.1,9733.6,8831.2,10476.8
AL032010,LSTM,6,8253.3,8045.7,8491.3,8244.8
AL032010,Transformer,6,9341.9,9107.5,9926.5,10158.5
AL032010,GNO+DynGNN,6,7999.9,8180.5,7345.8,9154.3
AL042010,LSTM,13,6411.9,6217.4,6655.1,6049.0
AL042010,Transformer,13,7615.5,7320.3,8055.6,7957.3
AL042010,GNO+DynGNN,13,6192.0,6463.7,5512.7,6984.7
AL052010,LSTM,20,9004.1,8725.0,8737.9,8101.0
AL052010,Transformer,20,9887.2,9635.0,10333.4,9986.6
AL052010,GNO+DynGNN,20,8739.8,8686.5,7676.7,9077.1
AL062010,LSTM,39,5549.4,5329.3,5342.2,5125.6
AL062010,Transformer,39,6396.8,6139.8,6985.1,6695.8
AL062010,GNO+DynGNN,39,5374.8,5337.1,4592.7,6044.3
AL072010,LSTM,43,6029.4,5809.6,6218.8,5831.8
AL072010,Transformer,43,7124.0,6845.1,7585.2,7632.9
AL072010,GNO+DynGNN,43,5814.5,6003.2,5145.2,6645.8
AL082010,LSTM,12,6275.0,6075.6,6584.1,5981.8
AL082010,Transformer,12,7526.2,7216.5,7924.7,7870.6
AL082010,GNO+DynGNN,12,6052.4,6363.9,5410.7,6909.6
AL092010,LSTM,18,4542.6,4329.5,4997.0,4552.5
AL092010,Transformer,18,5921.9,5520.6,6179.2,6522.5
AL092010,GNO+DynGNN,18,4350.6,4710.1,3688.1,5420.2
AL102010,LSTM,11,10012.7,9720.8,9862.8,9151.3
AL102010,Transformer,11,10997.3,10734.2,11378.7,10999.6
AL102010,GNO+DynGNN,11,9729.4,9757.7,8783.2,10083.1
AL112010,LSTM,49,5431.5,5199.5,5540.5,5176.3
AL112010,Transformer,49,6480.0,6189.3,6932.0,6945.1
AL112010,GNO+DynGNN,49,5236.6,5368.3,4529.3,5973.5
AL122010,LSTM,39,4605.4,4430.8,4411.0,4146.0
AL122010,Transformer,39,5437.3,5184.2,6130.7,5864.9
AL122010,GNO+DynGNN,39,4467.1,4404.6,3649.7,5160.8
AL132010,LSTM,10,9234.4,8960.9,9541.0,8912.1
AL132010,Transformer,10,10470.1,10170.0,10689.9,10874.5
AL132010,GNO+DynGNN,10,8966.6,9218.4,8230.7,9659.6
AL142010,LSTM,26,3266.1,3095.4,3017.6,2694.5
AL142010,Transformer,26,4219.9,3838.3,4737.6,4355.4
AL142010,GNO+DynGNN,26,3164.6,3086.9,2296.1,3830.1
AL152010,LSTM,4,8647.7,8378.7,9141.6,8575.5
AL152010,Transformer,4,10023.9,9673.8,10174.6,10554.5
