epoch,L_data,R_adv,R_diff,R_mass,R_wp,R_nrg,R_cont,L_total,interpretation
1,64.173,1.36e-07,1.58e-08,1.63e-11,3.12e-05,3.45e-05,0.0,64.173,Training starts; physics warm-up alpha=0.20
2,54.221,2.37e-07,2.31e-08,1.63e-11,2.61e-05,1.60e-04,0.0,54.221,alpha=0.40
3,37.549,8.62e-07,3.48e-08,2.21e-11,2.08e-05,5.37e-04,0.0,37.549,alpha=0.60
4,20.502,2.24e-06,4.01e-08,2.74e-11,1.37e-05,8.75e-04,0.0,20.502,alpha=0.80
5,9.856,4.05e-06,4.26e-08,1.97e-11,1.05e-05,1.41e-03,0.0,9.856,Physics fully active alpha=1.0; R_wp minimum here
6,5.044,5.52e-06,5.24e-08,1.51e-11,1.03e-05,2.04e-03,0.0,5.044,R_wp continues improving
7,2.597,6.30e-06,6.70e-08,1.40e-11,1.11e-05,2.44e-03,0.0,2.597,
8,1.748,6.67e-06,7.33e-08,1.35e-11,1.21e-05,2.65e-03,0.0,1.748,
9,1.386,6.79e-06,7.92e-08,1.31e-11,1.23e-05,2.72e-03,0.0,1.386,
10,1.197,6.88e-06,8.84e-08,1.28e-11,1.24e-05,2.77e-03,0.0,1.197,
11,1.087,6.93e-06,8.99e-08,1.26e-11,1.25e-05,2.80e-03,0.0,1.087,
12,0.982,6.94e-06,9.04e-08,1.25e-11,1.25e-05,2.82e-03,0.0,0.982,
13,0.895,6.97e-06,9.17e-08,1.25e-11,1.23e-05,2.84e-03,0.0,0.895,
14,0.842,6.98e-06,9.24e-08,1.24e-11,1.30e-05,2.86e-03,0.0,0.842,
15,0.788,6.99e-06,9.37e-08,1.24e-11,1.30e-05,2.87e-03,0.0,0.788,
16,0.754,7.00e-06,9.27e-08,1.24e-11,1.29e-05,2.86e-03,0.0,0.754,
17,0.720,7.01e-06,9.37e-08,1.24e-11,1.27e-05,2.87e-03,0.0,0.720,
18,0.699,7.02e-06,9.54e-08,1.24e-11,1.27e-05,2.88e-03,0.0,0.699,
19,0.683,7.02e-06,9.55e-08,1.24e-11,1.28e-05,2.88e-03,0.0,0.683,
20,0.674,7.02e-06,9.59e-08,1.24e-11,1.29e-05,2.88e-03,0.0,0.674,
